genus,best_partitioning,values
Raphanus,1,0.020006082040561594
Descurainia,1,0.02315596662214066
Cakile,1,0.02596289202859522
Streptanthus,1,0.031149475023089134
Barbarea,1,0.032078344404849975
Arabis,1,0.033533940746008434
Brassica,1,0.03826978804679667
Draba,1,0.044237242972490244
Isatis,1,0.04582576023714668
Rorippa,1,0.050311218320255986
Erysimum,1,0.058428953328411706
Sisymbrium,1,0.06233665587461207
Lepidium,1,0.0752695441415826
Boechera,2,0.07566863962935962
Cardamine,3,0.1801178590264433
