,score,best_partitioning
Raphanus sativus,0.013973380423499613,1
Descurainia sophia,0.011689340240069809,1
Cakile maritima,0.013206030178126184,1
Streptanthus tortuosus,0.01587806308509237,1
Barbarea orthoceras,0.02614454851408725,1
Arabis eschscholtziana,0.007447846109457979,1
Brassica rapa,0.017503105943799554,1
Draba verna,0.025277748965463663,1
Isatis tinctoria,0.04582576023714667,1
Rorippa curvisiliqua,0.02705981454063846,1
Erysimum capitatum,0.04080120116069391,1
Sisymbrium officinale,0.036329628594133585,1
Lepidium virginicum,0.014889920396747329,1
Boechera retrofracta,0.016000270083839214,1
Boechera howellii,0.006485807257521223,1
Cardamine nuttallii,0.04616044015101209,1
Cardamine oligosperma,0.032821234633722066,1
Cardamine hirsuta,0.02131146414760039,1
