genus,species,score
Achlys,californica,0.03786838453341241
Achlys,triphylla,0.10669109939419578
Berberis,aquifolium,0.3081882350513203
Berberis,darwinii,0.012237889019406034
Berberis,julianae,0.0018036460044108678
Berberis,nervosa,0.2515415501731701
Berberis,pinnata,0.01662157783406025
Berberis,piperiana,0.019223219893793185
Berberis,pumila,0.00944179561849293
Berberis,repens,0.016814748553596864
Berberis,stenophylla,0.0006188118811881188
Berberis,thunbergii,0.0022513803513052725
Berberis,vulgaris,0.0006887052341597796
Epimedium,versicolor,0.0006188118811881188
Vancouveria,chrysantha,0.018504794509989354
Vancouveria,hexandra,0.16847326715185806
Vancouveria,planipetala,0.02841208291445258
