genus,species,score
Alliaria,petiolata,0.003604703729971347
Alyssum,alyssoides,0.004227356506780448
Alyssum,corsicum,6.605019815059445e-05
Alyssum,desertorum,0.001314759868842522
Alyssum,murale,0.00019815059445178336
Alyssum,simplex,0.00140126250167031
Arabidopsis,lyrata,0.00030165912518853697
Arabidopsis,thaliana,0.014197678332968495
Arabis,aculeolata,0.007300501581441595
Arabis,alpina,0.0001321003963011889
Arabis,aubretioides,7.541478129713424e-05
Arabis,blepharophylla,3.233734316388565e-05
Arabis,caucasica,0.00022624434389140272
Arabis,eschscholtziana,0.00744784610945798
Arabis,furcata,0.004299638766186283
Arabis,gerardii,0.0016310314390973338
Arabis,glauca,7.541478129713424e-05
Arabis,holboellii,0.00019402405898331392
Arabis,mcdonaldiana,0.002991541712951358
Arabis,modesta,0.0023983983351246263
Arabis,nuttallii,7.541478129713424e-05
Arabis,olympica,0.00022624434389140272
Arabis,oregana,0.0030754735647986536
Arabis,pycnocarpa,0.0029319289456974924
Arabis,repanda,0.00022636140214719958
Arabis,rigidissima,0.00019402405898331392
Armoracia,rusticana,7.541478129713424e-05
Athysanus,pusillus,0.009680769135614336
Athysanus,unilateralis,0.0001321003963011889
Aubrieta,deltoidea,0.000290919030219174
Aurinia,saxatilis,7.541478129713424e-05
Barbarea,intermedia,0.00015082956259426848
Barbarea,orthoceras,0.02614454851408725
Barbarea,stricta,6.605019815059445e-05
Barbarea,verna,0.0021725465032541792
Barbarea,vulgaris,0.003544369626763675
Berteroa,incana,0.00044312410463626567
Boechera,acutina,0.0013099998684293038
Boechera,arcuata,0.00019539957080613707
Boechera,atrorubens,0.0008201980111219369
Boechera,breweri,0.00508246492402134
Boechera,calderi,0.00015082956259426848
Boechera,cobrensis,0.0001077521244610199
Boechera,collinsii,7.541478129713424e-05
Boechera,covillei,0.00029653813576626347
Boechera,cusickii,0.0003744565917496858
Boechera,davidsonii,3.233734316388565e-05
Boechera,divaricarpa,0.002026191232689671
Boechera,drepanoloba,6.605019815059445e-05
Boechera,grahamii,7.541478129713424e-05
Boechera,hastatula,0.0010604350079592643
Boechera,holboellii,0.0002642007926023778
Boechera,horizontalis,0.0001321003963011889
Boechera,howellii,0.006485807257521223
