genus,species,score
Amphiscirpus,nevadensis,0.0005459130064544584
Bolboschoenus,fluviatilis,0.0006969141493295694
Bolboschoenus,maritimus,0.007747618545625062
Bolboschoenus,novae-angliae,8.722958827634333e-05
Bolboschoenus,robustus,0.000258211113406321
Bulbostylis,capillaris,8.722958827634333e-05
Calliscirpus,criniger,0.008433146589002816
Carex,abrupta,0.0034299464506947134
Carex,albonigra,0.00040991073055201313
Carex,amplifolia,0.008092474857263733
Carex,angustata,0.003952508208434005
Carex,anthoxanthea,0.00013663691018400438
Carex,aperta,0.003910076954031476
Carex,aquatilis,0.024906051716691715
Carex,arcta,0.009197813133048717
Carex,arctiformis,0.0002277281836400073
Carex,arenaria,0.0007549673984777269
Carex,atherodes,0.0008813954370042004
Carex,athrostachya,0.010654234497477679
Carex,atrata,0.0001327752250043448
Carex,aurea,0.003089935007684302
Carex,barbarae,0.0024473634067936866
Carex,bebbii,0.0008198214611040263
Carex,bolanderi,0.008831696216270526
Carex,brainerdii,0.004768954304358093
Carex,brevicaulis,0.001997474360493826
Carex,brevior,0.00023282223713891556
Carex,breweri,0.004786719717795551
Carex,brunnescens,0.0005465476407360175
Carex,buchananii,0.00037262235823199845
Carex,buxbaumii,0.004390823705703482
Carex,californica,0.008123668189640365
Carex,canescens,0.007625311085889853
Carex,capitata,0.0005067041738744711
Carex,chordorrhiza,0.0004964418445577753
Carex,circinata,0.0002277281836400073
Carex,communis,0.000130844382414515
Carex,comosa,0.0018698150778268426
Carex,concinnoides,0.004557009482264027
Carex,crawfordii,0.0006350095973316095
Carex,cusickii,0.009488909488524785
Carex,davyi,0.00040411820278252376
Carex,deflexa,0.0014864617518724618
Carex,densa,0.014274787075602174
Carex,deweyana,0.003006012024048096
Carex,diandra,0.0009284194135004999
Carex,disperma,0.001792079751353294
Carex,divulsa,9.109127345600292e-05
Carex,douglasii,0.0022620918712914816
Carex,duriuscula,0.00018534575782108432
Carex,echinata,0.02353957904331086
Carex,engelmannii,0.0012297321916560394
Carex,epapillosa,9.109127345600292e-05
Carex,exsiccata,0.011333414541478662
Carex,feta,0.00960273380347377
Carex,filifolia,0.0011456392963747621
Carex,fissuricola,0.00013887181095760754
Carex,flava,9.109127345600292e-05
Carex,foenea,9.109127345600292e-05
Carex,fracta,0.00604023955416283
Carex,frankii,0.00013663691018400438
Carex,garberi,0.00027327382036800875
Carex,geyeri,0.004375219935784871
Carex,globosa,0.0023594873862519683
Carex,gracilior,0.00046478000413137784
Carex,gynodynama,0.0030785066898700772
Carex,halliana,0.007650759886377081
Carex,harfordii,0.0015405511599541097
Carex,hassei,0.0044719230212042944
Carex,haydeniana,9.718785940926567e-05
Carex,hendersonii,0.015265456657362531
Carex,heteroneura,0.0008800888463660726
Carex,hirsutella,0.000130844382414515
Carex,hirta,0.00023089139454908578
Carex,hirtissima,0.0001549266680437926
Carex,hoodii,0.009698386360558753
Carex,hystericina,0.0007370512920450321
Carex,idahoensis,4.554563672800146e-05
Carex,illota,0.004009138693474587
Carex,infirminervia,0.0013651858535796205
Carex,inops,0.018504381539169102
Carex,integra,0.0044078707129141656
Carex,interior,0.0018156177606040466
Carex,interrupta,0.005282567070495934
Carex,intumescens,4.3614794138171665e-05
Carex,jonesii,0.006932853564187172
Carex,kelloggii,0.021862161680540837
Carex,klamathensis,0.0012963202454819446
Carex,kobomugi,0.00036366661955343054
Carex,laeviculmis,0.01252507206847377
Carex,lasiocarpa,0.001994808845737144
Carex,lemmonii,0.0002065688907250568
Carex,lenticularis,0.007091817683907219
Carex,leporina,0.00437058191876301
Carex,leporinella,0.0013036653353386111
Carex,leptalea,0.005703320313164219
Carex,leptopoda,0.02084611929421278
Carex,limosa,0.0033830059834271072
Carex,livida,0.0014653974459361047
Carex,longii,0.00026941213518834914
Carex,luzulifolia,0.00025211452745305823
Carex,luzulina,0.018255878226727015
Carex,lyngbyei,0.009315054472852989
