genus,species,score
Dryopteris,arguta,0.08129006557104206
Dryopteris,austriaca,0.0026690391459074734
Dryopteris,campyloptera,0.013659027804935277
Dryopteris,carthusiana,0.00400355871886121
Dryopteris,expansa,0.10032497910089096
Dryopteris,filix-mas,0.005102459817762309
Dryopteris,scopulina,0.00044483985765124553
Polystichum,andersonii,0.016180178891337053
Polystichum,braunii,0.0008896797153024911
Polystichum,californicum,0.015300430940747558
Polystichum,dudleyi,0.002377717391304348
Polystichum,imbricans,0.12331865306471733
Polystichum,kruckebergii,0.012737265635494013
Polystichum,lemmonii,0.028568710755050304
Polystichum,lonchitis,0.06345515334008989
Polystichum,munitum,0.5026924728927132
Polystichum,scopulinum,0.026985767356193242
