genus,species,score
Acalypha,australis,0.003687315634218289
Chamaesyce,glyptosperma,0.026041666666666668
Chamaesyce,maculata,0.046875
Chamaesyce,prostrata,0.005208333333333333
Chamaesyce,serpyllifolia,0.010416666666666666
Croton,setiger,0.18224544597401357
Euphorbia,amygdaloides,0.0014970059880239522
Euphorbia,characias,0.008982035928143712
Euphorbia,crenulata,0.06865466940067631
Euphorbia,cyparissias,0.017138289792097222
Euphorbia,dulcis,0.0022123893805309734
Euphorbia,epithymoides,0.0014970059880239522
Euphorbia,esula,0.005208333333333333
Euphorbia,exigua,0.002310014118105253
Euphorbia,fendleri,0.0004065040650406504
Euphorbia,glyptosperma,0.029574307030230496
Euphorbia,helioscopia,0.020812831492206606
Euphorbia,lathyris,0.0599806296106255
Euphorbia,lurida,0.0004065040650406504
Euphorbia,maculata,0.07074607530029516
Euphorbia,myrsinites,0.0029940119760479044
Euphorbia,nutans,0.0029940119760479044
Euphorbia,oblongata,0.04327078629272859
Euphorbia,ocellata,0.004471544715447155
Euphorbia,peplus,0.10136361073449907
Euphorbia,segetalis,0.0014970059880239522
Euphorbia,serpens,0.00971949905498737
Euphorbia,serpyllifolia,0.08898964428147806
Euphorbia,serrulata,0.010479041916167664
Euphorbia,spathulata,0.04968946334613312
Euphorbia,virgata,0.11768050344379233
Mercurialis,annua,0.0029498525073746312
