genus,species,score
Juncus,acuminatus,0.022719042742127913
Juncus,alpinoarticulatus,0.0010897203051216855
Juncus,ambiguus,0.00041459369817578774
Juncus,anthelatus,0.0014700684958799102
Juncus,arcticus,0.00018162005085361425
Juncus,articulatus,0.018037409549262078
Juncus,balticus,0.04443494128269017
Juncus,bolanderi,0.02758076489653616
Juncus,brachycarpus,0.0005448601525608427
Juncus,brachyphyllus,0.001999859824706181
Juncus,brevicaudatus,0.0013963665595040993
Juncus,breweri,0.016018188842626898
Juncus,bufonius,0.06619639197350503
Juncus,bulbosus,0.0036858003571720688
Juncus,canadensis,0.006785015934953006
Juncus,capitatus,0.0009285514663038807
Juncus,compressus,0.0005009704956551166
Juncus,confusus,0.004311012884447978
Juncus,conglomeratus,0.0005448601525608427
Juncus,covillei,0.017834298075813753
Juncus,diffusissimus,0.0015063597469286978
Juncus,drummondii,0.014793785002714503
Juncus,dubius,0.001105583195135434
Juncus,dudleyi,0.005526440651248228
Juncus,effusus,0.09390214029584618
Juncus,ensifolius,0.08147943447371614
Juncus,exiguus,0.007581952834076341
Juncus,falcatus,0.009711352153016271
Juncus,filiformis,0.0027446933162088823
Juncus,gerardi,0.004755218066017727
Juncus,hemiendytus,0.0070771423806768
Juncus,hesperius,0.022752025901476403
Juncus,howellii,0.0068434203690769906
Juncus,interior,0.0008732321473318844
Juncus,kelloggii,0.0019182264433234958
Juncus,laccatus,0.022616810012132144
Juncus,leiospermus,0.000552791597567717
Juncus,lemieuxii,9.081002542680712e-05
Juncus,lesueurii,0.007029655848047942
Juncus,longistylis,0.0012358496495204888
Juncus,luciensis,0.0002763957987838585
Juncus,marginatus,0.003749918771872787
Juncus,mertensianus,0.028419577846469635
Juncus,mexicanus,0.0040682693228786294
Juncus,nevadensis,0.031113820961869893
Juncus,nodosus,0.00027243007628042137
Juncus,occidentalis,0.022156920599277565
Juncus,orthophyllus,0.014662891439677956
Juncus,oxymeris,0.010566541200409077
Juncus,parryi,0.022505528084196764
Juncus,patens,0.041847490594318824
Juncus,pelocarpus,0.0021314008074440546
Juncus,phaeocephalus,0.003869541182974019
Juncus,planifolius,0.00481412555917776
Juncus,pylaei,0.0001987281399046105
Juncus,ranarius,9.081002542680712e-05
Juncus,regelii,0.006594745404130451
Juncus,saximontanus,0.003969446342813036
Juncus,supiniformis,0.011716607322653292
Juncus,tenuis,0.032447885266787595
Juncus,textilis,9.081002542680712e-05
Juncus,tiehmii,0.0006133218380803983
Juncus,torreyi,0.0019537464790938775
Juncus,trilocularis,0.00320202790769659
Juncus,uncialis,0.0018895835552276944
Juncus,usitatus,0.00013819789939192924
Juncus,vaseyi,9.081002542680712e-05
Juncus,xiphioides,0.0041459369817578775
Luzula,arcuata,0.0003632401017072285
Luzula,campestris,0.005213672091783671
Luzula,cascadensis,0.004745888297080954
Luzula,comosa,0.07156870789123772
Luzula,congesta,0.0003632401017072285
Luzula,cornosa,9.081002542680712e-05
Luzula,divaricata,0.0041459369817578775
Luzula,forsteri,0.0003717941462327266
Luzula,glabrata,0.00013819789939192924
Luzula,hitchcockii,0.011452798397026238
Luzula,macrantha,0.007944377987685552
Luzula,multiflora,0.019490856579748785
Luzula,nivea,0.0003632401017072285
Luzula,parviflora,0.06134639394758754
Luzula,piperi,0.004610356771656942
Luzula,spicata,0.0028315669484478227
Luzula,subcongesta,0.0019347705914870095
Luzula,subsessilis,0.013838089600090388
Luzula,sylvatica,0.0005448601525608427
Luzula,wahlenbergii,0.00027243007628042137
