genus,species,score
Calandrinia,breweri,0.0004388531304856641
Calandrinia,ciliata,0.018455815908497306
Calandrinia,menziesii,0.006902091714736354
Calyptridium,monandrum,0.0002925687536571094
Calyptridium,monospermum,0.014731058084757208
Calyptridium,quadripetalum,0.003510825043885313
Calyptridium,umbellatum,0.0558465333011898
Cistanthe,maritima,0.0001462843768285547
Cistanthe,monosperma,0.002903761061946903
Claytonia,arenicola,0.0012110726643598615
Claytonia,cordifolia,0.021654727854132406
Claytonia,cupulata,0.00017301038062283736
Claytonia,depressa,0.00017301038062283736
Claytonia,exigua,0.04231867816843575
Claytonia,gypsophiloides,0.0026331187829139848
Claytonia,lanceolata,0.03675946108047849
Claytonia,megarhiza,0.0037019591526108032
Claytonia,multiscapa,0.00048429509752886057
Claytonia,nevadensis,0.0001462843768285547
Claytonia,palustris,0.00248683440608543
Claytonia,parviflora,0.0515439925987096
Claytonia,perfoliata,0.07149567951856084
Claytonia,rubra,0.07086072943554883
Claytonia,rupicola,0.00017301038062283736
Claytonia,saxosa,0.0074877832975710525
Claytonia,sibirica,0.20631057619217447
Claytonia,spathulata,0.00034602076124567473
Claytonia,umbellata,0.0005851375073142189
Claytonia,washingtoniana,0.007512223090622242
Lewisia,cantelovii,0.0007314218841427735
Lewisia,columbiana,0.013562649475927231
Lewisia,cotyledon,0.02774601080045656
Lewisia,kelloggii,0.0021942656524283205
Lewisia,leeana,0.009842843282730607
Lewisia,nevadensis,0.01430147835771619
Lewisia,oppositifolia,0.00985982070016652
Lewisia,pygmaea,0.0022377591843179205
Lewisia,rediviva,0.0077727256431660546
Lewisia,stebbinsii,0.002047981275599766
Lewisia,triphylla,0.02515984266520751
Lewisia,whiteae,0.00043084308994029526
Lewisiopsis,tweedyi,0.00034602076124567473
Montia,chamissoi,0.018486202854326363
Montia,dichotoma,0.008593524446692102
Montia,diffusa,0.011717016450383214
Montia,fontana,0.041115408955386096
Montia,howellii,0.025956346590654066
Montia,interrupta,0.00017301038062283736
Montia,latifolia,0.00017301038062283736
Montia,linearis,0.04678272042853709
Montia,parviflora,0.00017301038062283736
Montia,parvifolia,0.09803081494416964
Spraguea,multiceps,0.0012798749119637444
