genus,species,score
Botrychium,ascendens,0.00886950414639339
Botrychium,crenulatum,0.030737704918032786
Botrychium,lanceolatum,0.041789318755256516
Botrychium,lunaria,0.007671931227508996
Botrychium,minganense,0.03258524176536282
Botrychium,montanum,0.018447793296474516
Botrychium,pinnatum,0.0392592962814874
Botrychium,pumicola,0.06332958307944175
Botrychium,simplex,0.07676708761188762
Botrypus,virginianus,0.10262941397556517
Ophioglossum,petiolatum,0.001524390243902439
Ophioglossum,pusillum,0.05703858179074989
Sceptridium,multifidum,0.5193501529079367
