genus,species,score
Adlumia,cirrhosa,0.0005827505827505828
Adlumia,fungosa,0.0011655011655011655
Argemone,munita,0.006970260223048327
Canbya,aurea,0.001697792869269949
Chelidonium,majus,0.004187097565705376
Corydalis,aquae-gelidae,0.015220047036921758
Corydalis,aurea,0.004719389269474159
Corydalis,caseana,0.00046468401486988845
Corydalis,lutea,0.004345399931138471
Corydalis,scouleri,0.07867891552338431
Corydalis,sempervirens,0.002331002331002331
Dendromecon,rigida,0.010567024949350232
Dicentra,cucullaria,0.011345332652633162
Dicentra,formosa,0.4028422635739205
Dicentra,pauciflora,0.01254646840148699
Dicentra,uniflora,0.036991390199926796
Ehrendorferia,chrysantha,0.0055762081784386614
Eschscholzia,caespitosa,0.01399215647781294
Eschscholzia,californica,0.24643448542468183
Eschscholzia,columbiana,0.0017482517482517483
Eschscholzia,hypecoides,0.0009293680297397769
Eschscholzia,procera,0.0023234200743494425
Fumaria,bastardii,0.0005827505827505828
Fumaria,capreolata,0.004061448741171793
Fumaria,indica,0.00042444821731748726
Fumaria,muralis,0.005827505827505828
Fumaria,officinalis,0.015757683744505337
Fumaria,parviflora,0.00046468401486988845
Fumaria,reuteri,0.005827505827505828
Glaucium,corniculatum,0.0005827505827505828
Glaucium,flavum,0.0021222410865874364
Hunnemannia,fumariifolia,0.00046468401486988845
Meconella,oregana,0.021765455009893853
Meconopsis,cambrica,0.0011655011655011655
Meconopsis,villosa,0.0005827505827505828
Papaver,argemone,0.002331002331002331
Papaver,atlanticum,0.0005827505827505828
Papaver,bracteatum,0.0005827505827505828
Papaver,dubium,0.0037626493483878887
Papaver,heterophyllum,0.00046468401486988845
Papaver,macounii,0.0005827505827505828
Papaver,rhoeas,0.011648353134046148
Papaver,somniferum,0.01144625041059676
Platystemon,californicus,0.042262754793586134
Romneya,coulteri,0.0005827505827505828
Romneya,trichocalyx,0.00046468401486988845
