genus,species,score
Acaena,novae-zelandiae,0.0011197930419835074
Acaena,pinnatifida,0.00016690311274305267
Acaena,trifida,4.1411297001822096e-05
Acomastylis,depressa,4.1411297001822096e-05
Adenostoma,fasciculatum,0.0017524826838020528
Agrimonia,eupatoria,4.1411297001822096e-05
Agrimonia,gryposepala,0.0004173622878975025
Alchemilla,conjuncta,4.1411297001822096e-05
Alchemilla,erythropoda,4.1411297001822096e-05
Alchemilla,mollis,0.0002070564850091105
Alchemilla,viridiflora,4.1411297001822096e-05
Amelanchier,alnifolia,0.03727490212625092
Amelanchier,amelanchier,4.1411297001822096e-05
Amelanchier,canadensis,4.1411297001822096e-05
Amelanchier,cusickii,0.002283595514530767
Amelanchier,laevis,0.00028987907901275467
Amelanchier,lamarckii,0.000414112970018221
Amelanchier,pallida,0.005355848792241699
Amelanchier,utahensis,0.006907083385985462
Aphanes,arvensis,0.0014670734527625236
Aphanes,australis,0.0021964582353828353
Aphanes,occidentalis,0.0045473207378871235
Argentina,grandis,4.1411297001822096e-05
Aronia,melanocarpa,8.282259400364419e-05
Aruncus,dioicus,0.011284425239633113
Cercocarpus,betuloides,0.008070139936153966
Cercocarpus,ledifolius,0.004951708449957356
Chaenomeles,japonica,4.1411297001822096e-05
Chaenomeles,speciosa,0.0002364352129307703
Chamaebatia,foliolosa,0.0001251773345572895
Chamaebatiaria,millefolium,0.0015023196090939038
Comarum,palustre,0.008635255761326177
Cotoneaster,atropurpureus,0.00033129037601457677
Cotoneaster,bullatus,0.00012423389100546628
Cotoneaster,conspicuus,0.00028987907901275467
Cotoneaster,crispii,0.00012423389100546628
Cotoneaster,dammeri,0.00037270167301639887
Cotoneaster,dielsianus,0.0018537990880026023
Cotoneaster,divaricatus,0.0009016711558179468
Cotoneaster,fangianus,4.1743195859074974e-05
Cotoneaster,franchetii,0.0049552914379344636
Cotoneaster,gamblei,0.0006625807520291535
Cotoneaster,hjelmqvistii,0.0003339455668725998
Cotoneaster,horizontalis,0.002256857767839108
Cotoneaster,induratus,8.348639171814995e-05
Cotoneaster,integrifolius,0.00033476820920172066
Cotoneaster,lacteus,0.002658302899710707
Cotoneaster,lesliei,0.0002902109778700075
Cotoneaster,lucidus,0.00012423389100546628
Cotoneaster,mairei,0.00028987907901275467
Cotoneaster,miniatus,0.00016564518800728838
Cotoneaster,monopyrenus,8.282259400364419e-05
Cotoneaster,mucronatus,8.348639171814995e-05
Cotoneaster,nanshan,4.1411297001822096e-05
Cotoneaster,nitens,0.0008238691497826252
Cotoneaster,pannosus,0.0014737286881547412
Cotoneaster,rehderi,0.0016153724819283146
