genus,species,score
Asperula,orientalis,0.00023741690408357076
Cephalanthus,occidentalis,0.0008245382585751979
Crucianella,angustifolia,0.0010619551626587687
Cruciata,pedemontana,0.0044026131639424695
Galium,ambiguum,0.04412707499270069
Galium,andrewsii,0.0027110316798091647
Galium,aparine,0.21866620046011662
Galium,biflorum,0.0015105740181268882
Galium,bifolium,0.02871652938761388
Galium,bolanderi,0.032953341000834406
Galium,boreale,0.029494867295457722
Galium,californicum,0.017882535637592803
Galium,divaricatum,0.01884349264813612
Galium,glabrescens,0.010276894511723008
Galium,grayanum,0.013207492182997244
Galium,humifusum,0.004154078549848943
Galium,hypotrichium,0.00016490765171503957
Galium,kamtschaticum,0.0018882175226586104
Galium,mexicanum,0.007720655345221239
Galium,mollugo,0.005754605336075363
Galium,multiflorum,0.0020652620015633445
Galium,murale,0.0009894459102902375
Galium,muricatum,0.006444240228321143
Galium,nuttallii,0.0007321398592286895
Galium,odoratum,0.009185412399703483
Galium,oreganum,0.06934994097875177
Galium,palustre,0.007175226586102719
Galium,parisiense,0.02311394763456956
Galium,pedemontanum,0.0003109452736318408
Galium,porrigens,0.018055275999558543
Galium,pumilum,0.00023741690408357076
Galium,serpenticum,0.014509808119661528
Galium,sparsiflorum,0.003133245382585752
Galium,sylvaticum,0.00023741690408357076
Galium,tinctorium,0.00023741690408357076
Galium,tricornutum,0.002136752136752137
Galium,trifidum,0.13359453911838254
Galium,triflorum,0.14125188895172824
Galium,uliginosum,0.00023741690408357076
Galium,verum,0.0075751055106543525
Kelloggia,galioides,0.05917391716241055
Rubia,tinctoria,0.0007122507122507123
Sherardia,arvensis,0.05494196670763081
