binomial,count
Amaranthus albus,13
Amaranthus blitoides,10
Amaranthus blitum,1
Amaranthus californicus,1
Amaranthus caudatus,1
Amaranthus deflexus,3
Amaranthus hybridus,5
Amaranthus palmeri,3
Amaranthus powellii,30
Amaranthus retroflexus,10
Amaranthus spinosus,1
Amaranthus viridis,7
Atriplex argentea,2
Atriplex canescens,1
Atriplex confertifolia,2
Atriplex dioica,10
Atriplex gmelinii,7
Atriplex heterosperma,1
Atriplex hortensis,9
Atriplex patula,35
Atriplex prostrata,14
Atriplex rosea,8
Atriplex truncata,4
Bassia scoparia,10
Beta vulgaris,2
Blitum nuttallianum,14
Blitum spathulatum,2
Blitum virgatum,3
Chenopodiastrum murale,13
Chenopodiastrum simplex,4
Chenopodium album,49
Chenopodium atrovirens,1
Chenopodium berlandieri,17
Chenopodium fremontii,4
Chenopodium hians,1
Chenopodium incognitum,3
Chenopodium leptophyllum,10
Chenopodium opulifolium,3
Chenopodium pratericola,3
Chenopodium strictum,6
Chenopodium subglabrum,1
Chenopodium vulvaria,4
Corispermum americanum,4
Corispermum pacificum,11
Corispermum villosum,6
Dysphania ambrosioides,51
Dysphania botrys,58
Dysphania multifida,8
Dysphania pumilio,8
Extriplex joaquiniana,4
Grayia spinosa,7
Halogeton glomeratus,2
Lipandra polysperma,1
Micromonolepis pusilla,2
Nitrophila occidentalis,7
Oxybasis chenopodioides,3
Oxybasis glauca,3
Oxybasis rubra,9
Salicornia depressa,2
Salicornia rubra,1
Salsola kali,2
Salsola soda,2
Salsola tragus,23
Sarcocornia pacifica,4
Sarcocornia perennis,20
Suaeda calceoliformis,4
Suaeda maritima,1
Suaeda nigra,2
Suaeda taxifolia,1
