binomial,count
Allium acuminatum,54
Allium ampeloprasum,2
Allium amplectens,151
Allium anceps,1
Allium bisceptrum,10
Allium bolanderi,51
Allium campanulatum,17
Allium cernuum,37
Allium crenulatum,88
Allium diabolense,1
Allium falcifolium,67
Allium fibrillum,2
Allium lemmonii,1
Allium macrum,10
Allium madidum,1
Allium membranaceum,2
Allium nevii,18
Allium nigrum,6
Allium parvum,20
Allium peninsulare,2
Allium platycaule,13
Allium punctum,3
Allium robinsonii,2
Allium sanbornii,3
Allium schoenoprasum,1
Allium simillimum,1
Allium siskiyouense,60
Allium tolmiei,20
Allium triquetrum,15
Allium unifolium,5
Allium validum,32
Allium vineale,26
Amaryllis belladonna,1
Leucojum aestivum,1
Narcissus incomparabilis,4
Narcissus poeticus,5
Narcissus pseudonarcissus,7
Narcissus tazetta,1
