binomial,count
Aegopodium podagraria,6
Ammi majus,1
Anethum graveolens,8
Angelica arguta,80
Angelica canbyi,1
Angelica genuflexa,52
Angelica hendersonii,31
Angelica lucida,43
Angelica tomentosa,5
Anthriscus caucalis,50
Anthriscus sylvestris,9
Apium graveolens,2
Berula erecta,9
Bowlesia incana,1
Bupleurum odontites,1
Carum erythrorhizum,1
Carum oreganum,1
Caucalis daucoides,3
Centella asiatica,1
Chaerophyllum temulum,2
Cicuta bulbifera,3
Cicuta douglasii,78
Cnidium monnieri,1
Conioselinum chinense,3
Conioselinum pacificum,47
Conium maculatum,61
Coriandrum sativum,6
Cyclospermum leptophyllum,1
Cymopterus foeniculaceus,7
Daucus carota,58
Daucus pusillus,65
Deweya glauca,1
Eryngium alismifolium,8
Eryngium articulatum,15
Eryngium petiolatum,69
Euryptera howellii,2
Foeniculum vulgare,30
Glehnia littoralis,49
Heracleum mantegazzianum,4
Heracleum maximum,92
Ligusticum apiifolium,120
Ligusticum californicum,7
Ligusticum canbyi,6
Ligusticum filicinum,1
Ligusticum grayi,96
Lilaeopsis occidentalis,53
Lileaopsis occidentalis,4
Lomatium ambiguum,3
Lomatium anomalum,5
Lomatium bradshawii,38
Lomatium brevifolium,9
Lomatium californicum,34
Lomatium canbyi,4
Lomatium columbianum,32
Lomatium cookii,27
Lomatium cous,3
Lomatium dissectum,61
Lomatium donnellii,1
Lomatium engelmannii,9
Lomatium foeniculaceum,1
Lomatium fusiformis,34
Lomatium gormanii,6
Lomatium grayi,18
Lomatium greenmanii,1
Lomatium hallii,87
Lomatium hendersonii,2
Lomatium howellii,52
Lomatium leptocarpum,21
Lomatium linearifolia,4
Lomatium macrocarpum,125
Lomatium martindalei,199
Lomatium multifidum,3
Lomatium nevadense,21
Lomatium nudicaule,122
Lomatium oreganum,2
Lomatium peckianum,22
Lomatium piperi,25
Lomatium simplex,3
Lomatium suksdorfii,3
Lomatium terebinthinum,2
Lomatium tracyi,3
Lomatium triternatum,164
Lomatium utriculatum,147
Lomatium vaginatum,26
Lomatium watsonii,4
Myrrhis odorata,3
Oenanthe sarmentosa,125
Osmorhiza berteroi,176
Osmorhiza depauperata,3
Osmorhiza occidentalis,92
Osmorhiza purpurea,46
Oxypolis occidentalis,14
Pastinaca sativa,15
Perideridia bolanderi,21
Perideridia erythrorhiza,26
Perideridia gairdneri,5
Perideridia howellii,25
Perideridia kelloggii,1
Perideridia montana,70
Perideridia oregana,67
Perideridia parishii,2
Petroselinum segetum,8
Pimpinella saxifraga,3
Sanicula arctopoides,53
Sanicula bipinnatifida,81
Sanicula crassicaulis,91
Sanicula graveolens,103
Sanicula laciniata,12
Sanicula peckiana,17
Sanicula tripinnatifida,1
Sanicula tuberosa,7
Scandix pecten-veneris,37
Sium suave,23
Sphenosciadium capitellatum,51
Taeniopleurum howellii,1
Tauschia glauca,30
Tauschia hartwegii,1
Tauschia howellii,8
Tauschia kelloggii,18
Tauschia stricklandii,1
Torilis arvensis,69
Torilis henryi,2
Torilis japonica,13
Torilis leptophylla,3
Torilis nodosa,5
Turgenia latifolia,1
Yabea microcarpa,25
Zizia aptera,4
