binomial,count
Asparagus officinalis,6
Brodiaea californica,7
Brodiaea coronaria,36
Brodiaea elegans,90
Brodiaea minor,2
Brodiaea rosea,9
Brodiaea terrestris,15
Camassia cusickii,1
Camassia howellii,20
Camassia leichtlinii,123
Camassia quamash,160
Chlorogalum angustifolium,4
Chlorogalum grandiflorum,1
Chlorogalum pomeridianum,44
Convallaria majalis,2
Dichelostemma capitatum,113
Dichelostemma congestum,86
Dichelostemma ida-maia,12
Dichelostemma multiflorum,20
Dichelostemma volubile,2
Hastingsia alba,65
Hastingsia atropurpurea,11
Hastingsia bracteosa,64
Hastingsia serpenticola,7
Hastingsia serpentinicola,15
Hyacinthoides massartiana,3
Hyacinthoides non-scripta,12
Leucocrinum montanum,31
Maianthemum dilatatum,100
Maianthemum racemosum,176
Maianthemum stellatum,184
Muscari armeniacum,3
Muscari botryoides,7
Muscari comosum,4
Muscari neglectum,1
Ornithogalum nutans,4
Ornithogalum umbellatum,4
Trichelostemma lanceolata,1
Triteleia bridgesii,50
Triteleia crocea,12
Triteleia grandiflora,77
Triteleia hendersonii,100
Triteleia hyacinthina,126
Triteleia ixioides,4
Triteleia laxa,1
Triteleia peduncularis,1
Yucca baccata,1
