binomial,count
Acanthospermum hispidum,1
Achillea filipendulina,4
Achillea millefolium,222
Achillea ptarmica,3
Achyrachaena mollis,25
Acmella repens,1
Adenocaulon bicolor,91
Ageratina occidentalis,79
Agoseris apargioides,36
Agoseris aurantiaca,128
Agoseris elata,11
Agoseris glauca,22
Agoseris gracillens,1
Agoseris grandiflora,138
Agoseris heterophylla,96
Agoseris monticola,22
Agoseris parviflora,28
Agoseris retrorsa,17
Ambrosia acanthicarpa,2
Ambrosia artemisiifolia,37
Ambrosia chamissonis,71
Ambrosia grayi,4
Ambrosia psilostachya,14
Ambrosia trifida,5
Anaphalis margaritacea,192
Anaphalis subalpina,1
Ancistrocarphus filagineus,7
Anisocarpus madioides,85
Antennaria argentea,59
Antennaria corymbosa,6
Antennaria dimorpha,18
Antennaria flagellaris,1
Antennaria geyeri,45
Antennaria howellii,40
Antennaria luzuloides,46
Antennaria media,58
Antennaria racemosa,69
Antennaria rosea,128
Antennaria sieboldiana,1
Antennaria stenophylla,2
Antennaria suffrutescens,18
Antennaria umbrinella,6
Anthemis altissima,3
Anthemis arvensis,20
Anthemis cotula,70
Arctium lappa,4
Arctium minus,26
Arctium tomentosum,2
Arctotheca calendula,2
Arnica aurantiaca,1
Arnica cernua,57
Arnica chamissonis,69
Arnica cordifolia,61
Arnica discoidea,45
Arnica fulgens,6
Arnica gracilis,1
Arnica lanceolata,69
Arnica latifolia,138
Arnica longifolia,29
Arnica mollis,77
Arnica nevadensis,28
Arnica ovata,8
Arnica parryi,16
Arnica rydbergii,3
Arnica sororia,7
Arnica spathulata,50
Arnica viscosa,7
Artemisia abrotanum,2
Artemisia absinthium,7
Artemisia annua,5
Artemisia arbuscula,11
Artemisia biennis,9
Artemisia borealis,1
Artemisia cana,6
Artemisia douglasiana,84
Artemisia dracunculus,4
Artemisia estesii,14
Artemisia frigida,1
Artemisia ludoviciana,85
Artemisia nova,1
Artemisia pycnocephala,3
Artemisia rothrockii,1
Artemisia scoparia,2
Artemisia serrata,1
Artemisia spiciformis,1
Artemisia suksdorfii,42
Artemisia tilesii,2
Artemisia tridentata,35
Artemisia vulgaris,27
Aster delectus,1
Aster glabratus,3
Aster mucronatus,1
Aster oregonus,1
Baccharis douglasii,1
Baccharis pilularis,71
Baccharis salicifolia,7
Balsamorhiza careyana,29
Balsamorhiza deltoidea,85
Balsamorhiza hookeri,11
Balsamorhiza incana,1
Balsamorhiza lanata,2
Balsamorhiza sagittata,21
Balsamorhiza sericea,21
Balsamorhiza serrata,16
Balsamorhiza terebinthacea,1
Bellis perennis,49
Berkheya heterophylla,3
Bidens beckii,4
Bidens cernua,71
Bidens connata,4
Bidens cusickii,1
Bidens frondosa,34
Bidens tripartita,14
Bidens vulgata,20
Blepharipappus laevis,2
Blepharipappus scaber,87
Boltonia asteroides,9
Boltonia decurrens,1
Brickellia calfornica,1
Brickellia californica,18
Brickellia grandiflora,6
Brickellia greenei,15
Brickellia microphylla,1
Brickellia oblongifolia,2
Cacaliopsis nardosmia,65
Calycadenia fremontii,19
Calycadenia truncata,40
Canadanthus modestus,59
Carduus acanthoides,2
Carduus nutans,14
Carduus pycnocephalus,20
Carduus tenuiflorus,8
Carthamus lanatus,4
Carthamus tinctorius,4
Centaurea benedicta,22
Centaurea calcitrapa,5
Centaurea cyanus,52
Centaurea diffusa,16
Centaurea gerstlaueri,68
Centaurea iberica,2
Centaurea jacea,14
Centaurea kleinii,7
Centaurea melitensis,41
Centaurea montana,4
Centaurea nigra,15
Centaurea nigrescens,2
Centaurea solstitialis,25
Centaurea stoebe,21
Centaurea varnensis,5
Centromadia fitchii,36
Centromadia pungens,2
Chaenactis douglasii,74
