binomial,count
Adelinia grande,76
Amsinckia hispidissima,2
Amsinckia lycopsoides,31
Amsinckia menziesii,97
Amsinckia retrorsa,8
Amsinckia simplex,1
Amsinckia spectabilis,6
Amsinckia tessellata,31
Anchusa arvensis,3
Anchusa azurea,5
Anchusa officinalis,1
Andersonglossum occidentale,27
Asperugo procumbens,3
Borago officinalis,8
Buglossoides arvensis,8
Cryptantha affinis,36
Cryptantha ambigua,24
Cryptantha californica,3
Cryptantha flaccida,47
Cryptantha hispidula,3
Cryptantha intermedia,202
Cryptantha leiocarpa,11
Cryptantha milo-bakeri,6
Cryptantha multicaulis,3
Cryptantha muricata,2
Cryptantha pterocarya,4
Cryptantha rostellata,6
Cryptantha simulans,7
Cryptantha torreyana,48
Cryptantha watsonii,8
Cynoglossum officinale,5
Echium candicans,1
Echium plantagineum,7
Echium vulgare,1
Greeneocharis circumscissa,12
Gruvelia pusilla,17
Hackelia californica,37
Hackelia cusickii,4
Hackelia diffusa,24
Hackelia elegans,1
Hackelia floribunda,1
Hackelia hispida,1
Hackelia micrantha,77
Hackelia setosa,4
Lappula desertorum,1
Lappula redowskii,7
Lithodora diffusa,1
Lithospermum californicum,33
Lithospermum ruderale,38
Mertensia bella,71
Mertensia ciliata,7
Mertensia cusickii,2
Mertensia denticulata,1
Mertensia lanceolata,1
Mertensia longiflora,7
Mertensia oblongifolia,18
Mertensia paniculata,69
Mertensia platyphylla,60
Mertensia subcordata,1
Myosotis arvensis,8
Myosotis discolor,102
Myosotis latifolia,12
Myosotis laxa,72
Myosotis scorpioides,14
Myosotis stricta,9
Myosotis sylvatica,2
Myosotis verna,18
Oreocarya glomerata,3
Oreocarya salmonensis,1
Oreocarya sobolifera,3
Oreocarya subretusa,6
Pectocarya linearis,1
Pectocarya penicillata,5
Pectocarya pusilla,13
Pentaglottis sempervirens,26
Plagiobothrys austiniae,4
Plagiobothrys bracteatus,33
Plagiobothrys figuratus,103
Plagiobothrys fulvus,16
Plagiobothrys glyptocarpus,5
Plagiobothrys greenei,22
Plagiobothrys hirtus,28
Plagiobothrys hispidulus,59
Plagiobothrys hispidus,10
Plagiobothrys jucundus,2
Plagiobothrys kingii,3
Plagiobothrys lamprocarpus,1
Plagiobothrys leptocladus,4
Plagiobothrys mollis,10
Plagiobothrys nothofulvus,80
Plagiobothrys ramosus,2
Plagiobothrys reticulatus,8
Plagiobothrys salsus,1
Plagiobothrys scouleri,93
Plagiobothrys shastensis,8
Plagiobothrys stipitatus,11
Plagiobothrys tenellus,48
Sonnea hispida,10
Symphytum asperum,1
Symphytum officinale,9
