binomial,count
Alliaria petiolata,14
Alyssum alyssoides,13
Alyssum corsicum,1
Alyssum desertorum,1
Alyssum murale,3
Alyssum simplex,3
Arabidopsis thaliana,47
Arabis aculeolata,83
Arabis alpina,2
Arabis eschscholtziana,50
Arabis furcata,16
Arabis gerardii,3
Arabis mcdonaldiana,12
Arabis modesta,13
Arabis oregana,26
Arabis pycnocarpa,1
Athysanus pusillus,55
Athysanus unilateralis,2
Barbarea orthoceras,96
Barbarea stricta,1
Barbarea verna,3
Barbarea vulgaris,16
Berteroa incana,1
Boechera acutina,12
Boechera arcuata,1
Boechera atrorubens,1
Boechera breweri,4
Boechera covillei,4
Boechera cusickii,1
Boechera divaricarpa,8
Boechera drepanoloba,1
Boechera hastatula,9
Boechera holboellii,4
Boechera horizontalis,2
Boechera howellii,61
Boechera koehleri,43
Boechera lemmonii,12
Boechera lyallii,39
Boechera microphylla,2
Boechera pauciflora,23
Boechera paupercula,1
Boechera pendulocarpa,3
Boechera pinetorum,6
Boechera platysperma,10
Boechera pratincola,7
Boechera puberula,4
Boechera pulchra,1
Boechera rectissima,8
Boechera retrofracta,78
Boechera sparsiflora,25
Boechera stricta,2
Boechera subpinnatifida,35
Boechera suffrutescens,12
Brassica elongata,2
Brassica juncea,12
Brassica napus,16
Brassica nigra,29
Brassica oleracea,6
Brassica rapa,30
Cakile edentula,48
Cakile maritima,40
Camelina microcarpa,26
Camelina sativa,3
Capsella bursa-pastoris,65
Cardamine angulata,70
Cardamine bellidifolia,48
Cardamine breweri,73
Cardamine californica,50
Cardamine cordifolia,14
Cardamine flexuosa,2
Cardamine hirsuta,56
Cardamine nuttallii,259
Cardamine occidentalis,27
Cardamine occulta,1
Cardamine oligosperma,116
Cardamine parviflora,2
Cardamine pattersonii,20
Cardamine penduliflora,62
Cardamine pensylvanica,35
Cardamine pratensis,3
Cardamine umbellata,1
Caulanthus amplexicaulis,1
Caulanthus lasiophyllus,2
Chorispora tenella,5
Cochlearia groenlandica,3
Conringia orientalis,3
Crambe maritima,13
Cusickiella douglasii,3
Descurainia incana,2
Descurainia incisa,20
Descurainia longepedicellata,17
Descurainia nelsonii,10
Descurainia paradisa,3
Descurainia pinnata,4
Descurainia sophia,26
Diplotaxis muralis,3
Diplotaxis tenuifolia,6
Draba albertina,3
Draba aureola,22
Draba brachycarpa,2
Draba cyclomorpha,1
Draba densifolia,2
Draba howellii,2
Draba lonchocarpa,2
Draba nemorosa,5
Draba praealta,4
Draba stenoloba,5
Draba verna,64
Eruca vesicaria,6
Erysimum arenicola,6
Erysimum capitatum,193
Erysimum cheiranthoides,4
Erysimum concinnum,2
Erysimum occidentale,1
Erysimum perenne,8
Erysimum perofskianum,1
Erysimum repandum,16
Hesperis matronalis,16
Hirschfeldia incana,9
Hornungia procumbens,1
Iberis amara,2
Idahoa scapigera,24
Inopsidium acaule,1
Isatis tinctoria,16
Lepidium acutidens,3
Lepidium appelianum,11
Lepidium campestre,30
Lepidium chalepense,9
Lepidium densiflorum,28
Lepidium dictyotum,2
Lepidium didymum,25
Lepidium draba,11
Lepidium heterophyllum,16
Lepidium latifolium,11
Lepidium montanum,1
Lepidium nitidum,34
Lepidium oblongum,3
Lepidium perfoliatum,37
Lepidium pubescens,2
Lepidium ramosissimum,3
Lepidium ruderale,1
Lepidium sativum,2
Lepidium strictum,15
Lepidium virginicum,32
Lobularia maritima,8
Lunaria annua,16
Matthiola incana,2
Nasturtium microphyllum,5
Nasturtium officinale,47
Nasturtium sterile,2
Neslia paniculata,1
Noccaea fendleri,98
Odontarrhena muralis,7
Phoenicaulis cheiranthoides,25
Physaria douglasii,1
Physaria occidentalis,3
Polyctenium fremontii,10
Raphanus raphanistrum,30
Raphanus sativus,47
Rapistrum rugosum,4
Roripa curvisiliqua,1
Rorippa calycina,1
Rorippa columbiae,21
Rorippa curvipes,24
Rorippa curvisiliqua,146
Rorippa indica,4
Rorippa palustris,42
Rorippa sinuata,1
Rorippa sylvestris,4
Sinapis arvensis,14
Sisymbrium altissimum,45
Sisymbrium irio,1
Sisymbrium linifolium,1
Sisymbrium officinale,53
Sisymbrium orientale,3
Smelowskia americana,3
Smelowskia ovalis,7
Streptanthus cordatus,2
Streptanthus glandulosus,2
Streptanthus howellii,11
Streptanthus tortuosus,19
Subularia aquatica,1
Teesdalia coronopifolia,1
Teesdalia nudicaulis,37
Thelypodium brachycarpum,15
Thelypodium flexuosum,6
Thelypodium howellii,21
Thelypodium laciniatum,9
Thelypodium milleflorum,1
Thlaspi arvense,18
Thysanocarpus curvipes,74
Thysanocarpus radians,21
Turritis glabra,58
