binomial,count
Campanula medium,1
Campanula persicifolia,1
Campanula prenanthoides,92
Campanula rapunculoides,5
Campanula rotundifolia,25
Campanula scouleri,146
Downingia bacigalupii,27
Downingia bicornuta,3
Downingia elegans,55
Downingia laeta,3
Downingia porterella,1
Downingia yina,57
Githopsis specularioides,52
Heterocodon rariflorum,36
Howellia aquatilis,14
Jasione montana,3
Laurentia carnosula,1
Lobelia cardinalis,1
Lobelia dortmanna,3
Lobelia erinus,2
Lobelia spicata,1
Nemacladus capillaris,3
Nemacladus rigidus,1
Porterella carnosula,16
Triodanis biflora,2
Triodanis perfoliata,38
