binomial,count
Agrostemma githago,21
Arenaria montana,1
Arenaria serpyllifolia,46
Atocion armeria,4
Cardionema ramosissima,41
Cerastium arvense,91
Cerastium brachypetalum,3
Cerastium fontanum,73
Cerastium glomeratum,92
Cerastium nutans,7
Cerastium pumilum,5
Cerastium semidecandrum,7
Cerastium tomentosum,1
Cerastium viride,54
Corrigiola litoralis,8
Dianthus armeria,48
Dianthus barbatus,4
Dichodon viscidum,8
Eremogone aculeata,21
Eremogone capillaris,45
Eremogone congesta,48
Eremogone franklinii,3
Eremogone kingii,2
Eremogone pumicola,71
Gypsophila elegans,2
Gypsophila paniculata,4
Herniaria glabra,2
Herniaria hirsuta,1
Holosteum umbellatum,6
Honckenya peploides,24
Illecebrum verticillatum,1
Minuartia obtusiloba,2
Moehringia lateriflora,4
Moehringia macrophylla,131
Moenchia erecta,26
Myosoton aquaticum,4
Paronychia franciscana,3
Pentacaena ramosissima,1
Petrorhagia dubia,7
Polycarpon tetraphyllum,22
Pseudostellaria jamesiana,27
Sabulina californica,23
Sabulina cismontana,9
Sabulina douglasii,84
Sabulina howellii,24
Sabulina macra,23
Sabulina nuttallii,32
Sabulina pusilla,3
Sabulina rubella,33
Sagina apetala,13
Sagina decumbens,36
Sagina japonica,4
Sagina maxima,35
Sagina procumbens,28
Sagina saginoides,37
Saponaria ocymoides,1
Saponaria officinalis,37
Scleranthus annuus,34
Silene antirrhina,21
Silene bernardina,12
Silene bridgesii,2
Silene campanulata,151
Silene columbiana,1
Silene coronaria,12
Silene dichotoma,1
Silene dioica,10
Silene douglasii,112
Silene gallica,72
Silene grayi,12
Silene hookeri,152
Silene latifolia,30
Silene lemmonii,6
Silene menziesii,47
Silene noctiflora,5
Silene nuda,20
Silene oregana,9
Silene parryi,2
Silene scaposa,1
Silene scouleri,22
Silene suksdorfii,26
Silene vulgaris,38
Spergula arvensis,82
Spergula bocconi,1
Spergularia bocconi,3
Spergularia canadensis,15
Spergularia diandra,5
Spergularia macrotheca,36
Spergularia media,1
Spergularia rubra,87
Spergularia salina,16
Spergularia villosa,1
Stellaria borealis,92
Stellaria calycantha,29
Stellaria crispa,62
Stellaria graminea,3
Stellaria humifusa,10
Stellaria longifolia,15
Stellaria longipes,48
Stellaria media,55
Stellaria nitens,31
Stellaria obtusa,5
Stellaria umbellata,7
Vaccaria hispanica,24
