binomial,count
Callitropsis bakeri,24
Callitropsis macnabiana,8
Callitropsis macrocarpa,16
Callitropsis nootkatensis,67
Calocedrus decurrens,62
Chamaecyparis lawsoniana,83
Cryptomeria japonica,2
Cupressus bakeri,1
Cupressus macrocarpa,1
Hesperocyparis sargentii,2
Heyderia abietis,1
Juniperus californica,1
Juniperus chinensis,2
Juniperus communis,94
Juniperus occidentalis,51
Juniperus scopulorum,1
Juniperus virginiana,13
Metasequoia glyptostroboides,4
Sequoia sempervirens,17
Sequoiadendron giganteum,2
Thuja plicata,87
