binomial,count
Amphiscirpus nevadensis,2
Bolboschoenus fluviatilis,6
Bolboschoenus maritimus,37
Bolboschoenus novae-angliae,2
Bulbostylis capillaris,2
Carex abrupta,21
Carex amplifolia,44
Carex angustata,42
Carex aperta,58
Carex aquatilis,154
Carex arcta,34
Carex arenaria,10
Carex atherodes,6
Carex athrostachya,55
Carex atrata,2
Carex aurea,26
Carex barbarae,20
Carex bolanderi,45
Carex brainerdii,19
Carex brevicaulis,24
Carex brevior,1
Carex breweri,72
Carex buchananii,3
Carex buxbaumii,24
Carex californica,33
Carex canescens,31
Carex capitata,7
Carex chordorrhiza,6
Carex communis,3
Carex comosa,4
Carex concinnoides,34
Carex crawfordii,5
Carex cusickii,59
Carex davyi,3
Carex deflexa,8
Carex densa,91
Carex diandra,4
Carex disperma,19
Carex douglasii,17
Carex duriuscula,2
Carex echinata,129
Carex exsiccata,74
Carex feta,71
Carex filifolia,8
Carex fissuricola,2
Carex fracta,31
Carex geyeri,10
Carex globosa,2
Carex gynodynama,16
Carex halliana,68
Carex harfordii,6
Carex hassei,27
Carex hendersonii,71
Carex heteroneura,4
Carex hirsutella,3
Carex hirta,2
Carex hoodii,44
Carex hystericina,1
Carex illota,28
Carex infirminervia,21
Carex inops,132
Carex integra,20
Carex interior,8
Carex interrupta,35
Carex intumescens,1
Carex jonesii,47
Carex kelloggii,142
Carex klamathensis,18
Carex kobomugi,4
Carex laeviculmis,87
Carex lasiocarpa,2
Carex lenticularis,8
Carex leporina,10
Carex leporinella,12
Carex leptalea,33
Carex leptopoda,80
Carex limosa,12
Carex livida,9
Carex longii,2
Carex luzulina,99
Carex lyngbyei,48
Carex macrocephala,52
Carex macrochaeta,3
Carex mariposana,1
Carex mendocinensis,52
Carex mertensii,81
Carex microptera,54
Carex minicaulis,1
Carex multicaulis,43
Carex multicostata,11
Carex nardina,2
Carex nebrascensis,36
Carex nervina,8
Carex neurophora,22
Carex nigricans,45
Carex nudata,68
Carex obnupta,136
Carex ovalis,30
Carex pachycarpa,30
Carex pachystachya,168
Carex pansa,33
Carex pellita,43
Carex pendula,19
Carex pensylvanica,2
Carex petasata,2
Carex phaeocephala,13
Carex pluriflora,1
Carex praeceptorum,2
Carex praegracilis,24
Carex praticola,19
Carex preslii,65
Carex pumila,2
Carex raynoldsii,8
Carex retrorsa,5
Carex rossii,85
Carex scabriuscula,17
Carex scirpoidea,6
Carex scoparia,50
Carex scopulorum,51
Carex serpenticola,62
Carex serratodens,13
Carex sheldonii,4
Carex simulata,38
Carex spectabilis,60
Carex stipata,62
Carex straminiformis,32
Carex subbracteata,11
Carex subfusca,77
Carex tribuloides,4
Carex tumulicola,40
Carex unilateralis,47
Carex utriculata,117
Carex vallicola,1
Carex vernacula,4
Carex vesicaria,48
Carex viridula,33
Carex vulpinoidea,9
Carex whitneyi,17
Carex xerantica,1
Cyperus acuminatus,11
Cyperus aggregatus,1
Cyperus bipartitus,24
Cyperus difformis,10
Cyperus eragrostis,55
Cyperus erythrorhizos,39
Cyperus esculentus,23
Cyperus fuscus,1
Cyperus niger,3
Cyperus odoratus,1
Cyperus squarrosus,47
Cyperus strigosus,25
Dulichium arundinaceum,40
Eleocharis acicularis,48
Eleocharis bella,13
Eleocharis bolanderi,2
Eleocharis decumbens,3
Eleocharis engelmannii,6
Eleocharis macrostachya,62
Eleocharis obtusa,88
Eleocharis ovata,16
Eleocharis palustris,76
Eleocharis parishii,15
Eleocharis parvula,1
Eleocharis quadrangulata,6
Eleocharis quinqueflora,15
Eleocharis rostellata,6
Eleocharis suksdorfiana,19
Eriophorum angustifolium,26
Eriophorum chamissonis,27
Eriophorum crinigerum,38
Eriophorum gracile,32
Isolepis cernua,44
Isolepis setacea,12
Lipocarpha micrantha,4
Lipocarpha occidentalis,1
Rhynchospora alba,14
Rhynchospora capitellata,10
Schoenoplectus acutus,43
Schoenoplectus americanus,9
Schoenoplectus californicus,5
Schoenoplectus heterochaetus,1
Schoenoplectus kuekenthalianus,2
Schoenoplectus mucronatus,6
Schoenoplectus pungens,46
Schoenoplectus subterminalis,25
Schoenoplectus tabernaemontani,47
Schoenoplectus triqueter,5
Scirpus atrocinctus,3
Scirpus congdonii,54
Scirpus cyperinus,10
Scirpus georgianus,3
Scirpus microcarpus,120
Scirpus pendulus,43
Trichophorum cespitosum,14
