binomial,count
Allotropa virgata,54
Arbutus menziesii,66
Arbutus unedo,1
Arctostaphylos canescens,93
Arctostaphylos columbiana,160
Arctostaphylos glandulosa,4
Arctostaphylos hispidula,20
Arctostaphylos manzanita,6
Arctostaphylos media,12
Arctostaphylos nevadensis,139
Arctostaphylos obtusifolia,2
Arctostaphylos parvifolia,6
Arctostaphylos patula,185
Arctostaphylos pungens,2
Arctostaphylos stanfordiana,7
Arctostaphylos tomentosa,2
Arctostaphylos uva-ursi,85
Arctostaphylos viscida,110
Calluna vulgaris,1
Cassiope mertensiana,39
Chimaphila menziesii,87
Chimaphila umbellata,141
Elliottia pyroliflora,28
Empetrum nigrum,26
Erica carnea,2
Erica lusitanica,10
Gaultheria humifusa,29
Gaultheria ovatifolia,65
Gaultheria shallon,168
Hemitomes congestum,38
Kalmia microphylla,82
Kalmiopsis fragrans,6
Kalmiopsis leachiana,34
Ledum glandulosum,1
Leucothoe davisiae,1
Leucothoe fontanesiana,1
Menziesia davisiae,1
Menziesia ferruginea,84
Moneses uniflora,23
Monotropa hypopitys,97
Monotropa uniflora,48
Orthilia secunda,109
Phyllodoce empetriformis,87
Phyllodoce glanduliflora,46
Phyllodoce intermedia,1
Pieris japonica,1
Pityopus californicus,19
Pleuricospora fimbriolata,38
Pterospora andromedea,68
Pyrola aphylla,74
Pyrola asarifolia,129
Pyrola chlorantha,2
Pyrola crypta,1
Pyrola dentata,58
Pyrola minor,25
Pyrola picta,97
Rhododendron albiflorum,37
Rhododendron columbianum,126
Rhododendron macrophyllum,130
Rhododendron occidentale,97
Sarcodes sanguinea,25
Vaccinium caespitosum,79
Vaccinium chamissonis,2
Vaccinium corymbosum,6
Vaccinium deliciosum,26
Vaccinium macrocarpon,13
Vaccinium membranaceum,102
Vaccinium myrtillus,12
Vaccinium ovalifolium,85
Vaccinium ovatum,115
Vaccinium oxycoccos,19
Vaccinium parvifolium,149
Vaccinium scoparium,77
Vaccinium uliginosum,121
