binomial,count
Acacia dealbata,10
Acacia decurrens,1
Acmispon americanus,171
Acmispon brachycarpus,24
Acmispon denticulatus,17
Acmispon humistratus,5
Acmispon nevadensis,122
Acmispon parviflorus,131
Acmispon wrangelianus,5
Amorpha californica,2
Amorpha fruticosa,12
Astragalus accidens,80
Astragalus agrestis,1
Astragalus applegatei,6
Astragalus californicus,5
Astragalus canadensis,5
Astragalus collinus,1
Astragalus conjunctus,8
Astragalus convallarius,1
Astragalus curvicarpus,38
Astragalus cusickii,1
Astragalus diaphanus,2
Astragalus drummondii,1
Astragalus filipes,35
Astragalus gambelianus,7
Astragalus hoodianus,16
Astragalus howellii,2
Astragalus inflexus,1
Astragalus iodanthus,2
Astragalus lemmonii,5
Astragalus lentiginosus,28
Astragalus lyallii,1
Astragalus malacus,1
Astragalus misellus,5
Astragalus newberryi,1
Astragalus obscurus,9
Astragalus peckii,23
Astragalus purshii,39
Astragalus reventus,2
Astragalus robbinsii,1
Astragalus salmonis,1
Astragalus sclerocarpus,3
Astragalus spaldingii,1
Astragalus succumbens,1
Astragalus sylvaticus,1
Astragalus tetrapterus,1
Astragalus tweedyi,6
Astragalus tyghensis,2
Astragalus umbraticus,18
Astragalus whitneyi,21
Atelophragma wallowense,1
Cercis occidentalis,2
Cicer arietinum,1
Cytisus multiflorus,4
Cytisus scoparius,89
Cytisus striatus,11
Dalea ornata,1
Galega officinalis,2
Genista monspessulana,31
Gleditsia triacanthos,1
Glycyrrhiza lepidota,6
Hoita macrostachya,1
Hosackia crassifolia,117
Hosackia gracilis,49
Hosackia oblongifolia,95
Hosackia pinnata,78
Hosackia rosea,81
Hosackia stipularis,2
Laburnum anagyroides,4
Ladeania lanceolata,9
Lathyrus angulatus,24
Lathyrus aphaca,39
Lathyrus brownii,19
Lathyrus delnorticus,33
Lathyrus hirsutus,19
Lathyrus holochlorus,80
Lathyrus japonicus,58
Lathyrus lanszwertii,70
Lathyrus latifolius,21
Lathyrus littoralis,40
Lathyrus nevadensis,164
Lathyrus nissolia,3
Lathyrus ochropetalus,1
Lathyrus palustris,27
Lathyrus pauciflorus,17
Lathyrus polyphyllus,139
Lathyrus rigidus,6
Lathyrus sativus,1
Lathyrus sphaericus,46
Lathyrus sulphureus,7
Lathyrus sylvestris,14
Lathyrus tingitanus,15
Lathyrus torreyi,37
Lathyrus tracyi,1
Lathyrus vernus,1
Lathyrus vestitus,49
Lespedeza pilosa,1
Lotus corniculatus,47
Lotus subbiflorus,5
Lotus uliginosus,36
Lupinus adsurgens,2
Lupinus affinis,46
Lupinus albicaulis,235
Lupinus albifrons,127
Lupinus andersonii,33
Lupinus arboreus,36
Lupinus arbustus,168
Lupinus argenteus,68
Lupinus benthamii,1
Lupinus bicolor,265
Lupinus brevicaulis,1
Lupinus breweri,12
Lupinus caudatus,23
Lupinus fissicalyx,1
Lupinus formosus,2
Lupinus gormanii,1
Lupinus humicola,1
Lupinus lapidicola,1
Lupinus latifolius,287
Lupinus laxiflorus,2
Lupinus lepidus,366
Lupinus leucophyllus,76
Lupinus littoralis,106
Lupinus luteolus,37
Lupinus microcarpus,41
Lupinus nanus,5
Lupinus obtusifolius,1
Lupinus onustus,22
Lupinus oreganus,52
Lupinus polyphyllus,167
Lupinus rivularis,123
Lupinus sabinianus,1
Lupinus saxosus,15
Lupinus sellulus,2
Lupinus sericeus,5
Lupinus siskiyouensis,1
Lupinus sulphureus,8
Lupinus tracyi,7
Lupinus variicolor,1
Medicago arabica,27
Medicago lupulina,40
Medicago minima,12
Medicago polymorpha,47
Medicago praecox,5
Medicago sativa,26
Medicago sylvestris,2
Medicago turbinata,3
Melilotus albus,32
Melilotus indicus,16
Melilotus officinalis,23
Ononis spinosa,6
Ornithopus compressus,9
Ornithopus perpusillus,6
Pisum sativum,6
Pueraria montana,1
Robinia hispida,9
Robinia pseudoacacia,19
Rupertia physodes,95
Securigera varia,16
Sophora leachiana,20
Spartium junceum,15
Thermopsis gracilis,112
Thermopsis macrophylla,4
Thermopsis montana,6
Thermopsis robusta,1
Trifolium albopurpureum,41
Trifolium angustifolium,21
Trifolium arvense,48
Trifolium aureum,1
Trifolium barbigerum,5
Trifolium beckwithii,8
Trifolium bifidum,59
Trifolium breweri,18
Trifolium campestre,32
Trifolium cernuum,3
