binomial,count
Crocosmia crocosmiiflora,16
Gladiolus communis,1
Iris bracteata,46
Iris chrysophylla,196
Iris douglasiana,69
Iris germanica,4
Iris hartwegii,1
Iris innominata,84
Iris innomonata,1
Iris missouriensis,21
Iris pseudacorus,16
Iris tenax,231
Iris tenuis,19
Iris tenuissima,2
Iris thompsonii,2
Olsynium douglasii,65
Romulea rosea,1
Sisyrinchium bellum,97
Sisyrinchium californicum,60
Sisyrinchium hitchcockii,25
Sisyrinchium idahoense,129
Sisyrinchium littorale,1
Sisyrinchium montanum,1
Sisyrinchium sarmentosum,7
