binomial,count
Juncus acuminatus,66
Juncus anthelatus,2
Juncus articulatus,34
Juncus balticus,73
Juncus bolanderi,68
Juncus brachyphyllus,9
Juncus brevicaudatus,4
Juncus breweri,45
Juncus bufonius,124
Juncus bulbosus,4
Juncus canadensis,26
Juncus capitatus,1
Juncus compressus,1
Juncus confusus,11
Juncus covillei,61
Juncus diffusissimus,4
Juncus drummondii,29
Juncus dudleyi,4
Juncus effusus,121
Juncus ensifolius,194
Juncus exiguus,16
Juncus falcatus,38
Juncus filiformis,13
Juncus gerardi,10
Juncus hemiendytus,23
Juncus hesperius,42
Juncus howellii,14
Juncus interior,1
Juncus kelloggii,11
Juncus laccatus,37
Juncus lescurii,3
Juncus lesueurii,13
Juncus marginatus,26
Juncus mertensianus,72
Juncus mexicanus,2
Juncus nevadensis,124
Juncus occidentalis,83
Juncus orthophyllus,70
Juncus oxymeris,39
Juncus parryi,58
Juncus patens,55
Juncus pelocarpus,5
Juncus planifolius,30
Juncus pylaei,2
Juncus regelii,11
Juncus saximontanus,15
Juncus supiniformis,45
Juncus tenuis,65
Juncus tiehmii,2
Juncus torreyi,5
Juncus trilocularis,24
Juncus uncialis,6
Luzula campestris,15
Luzula cascadensis,43
Luzula comosa,166
Luzula forsteri,1
Luzula hitchcockii,66
Luzula macrantha,47
Luzula multiflora,90
Luzula parviflora,195
Luzula piperi,11
Luzula spicata,7
Luzula subsessilis,34
