binomial,count
Agastache occidentalis,3
Agastache urticifolia,59
Ajuga reptans,8
Ballota nigra,1
Clinopodium douglasii,93
Clinopodium vulgare,24
Galeopsis tetrahit,2
Glechoma hederacea,39
Hedeoma pulegioides,1
Lamiastrum galeobdolon,5
Lamium amplexicaule,30
Lamium hybridum,4
Lamium maculatum,4
Lamium purpureum,49
Lavandula angustifolia,3
Lavandula stoechas,7
Leonurus cardiaca,6
Lophanthus cusickii,1
Lycopus americanus,36
Lycopus asper,4
Lycopus lucidus,1
Lycopus uniflorus,48
Madronella amabillis,1
Marrubium vulgare,16
Melissa officinalis,41
Mentha arvensis,14
Mentha canadensis,104
Mentha longifolia,1
Mentha piperita,63
Mentha pulegium,43
Mentha spicata,13
Mentha suaveolens,15
Mentha villosa,3
Moluccella laevis,2
Monardella odoratissima,88
Monardella purpurea,66
Monardella sheltonii,12
Monardella villosa,39
Nepeta cataria,15
Origanum vulgare,10
Physostegia parviflora,15
Pogogyne floribunda,1
Pogogyne zizyphoroides,4
Prunella vulgaris,183
Salvia aethiopis,20
Salvia dorrii,1
Salvia reflexa,1
Salvia sclarea,12
Salvia sonomensis,1
Scutellaria angustifolia,9
Scutellaria antirrhinoides,95
Scutellaria galericulata,17
Scutellaria lateriflora,34
Scutellaria nana,23
Scutellaria tuberosa,19
Stachys agrigoides,2
Stachys arvensis,2
Stachys bullata,1
Stachys byzantina,2
Stachys chamissonis,1
Stachys confertiflora,1
Stachys cooleyae,100
Stachys mexicana,8
Stachys palustris,13
Stachys pilosa,12
Stachys rigida,288
Thymus serpyllum,4
Thymus vulgaris,1
Trichostema lanceolatum,76
Trichostema laxum,1
Trichostema oblongum,24
Trichostema simulatum,7
