binomial,count
Calochortus amabilis,2
Calochortus coeruleus,1
Calochortus coxii,4
Calochortus elegans,49
Calochortus eurycarpus,2
Calochortus galei,2
Calochortus greenei,6
Calochortus howellii,39
Calochortus indecorus,2
Calochortus leichtlinii,3
Calochortus longebarbatus,16
Calochortus macrocarpus,27
Calochortus monophyllus,4
Calochortus nitidus,3
Calochortus nudus,4
Calochortus persistens,1
Calochortus subalpinus,111
Calochortus tolmiei,248
Calochortus umpquaensis,21
Calochortus uniflorus,46
Clintonia andrewsiana,3
Clintonia uniflora,120
Erythronium citrinum,78
Erythronium elegans,18
Erythronium grandiflorum,103
Erythronium hendersonii,72
Erythronium klamathense,20
Erythronium montanum,24
Erythronium multiscapideum,3
Erythronium oregonum,148
Erythronium revolutum,38
Fritillaria affinis,97
Fritillaria atropurpurea,35
Fritillaria camschatcensis,2
Fritillaria eastwoodiae,4
Fritillaria gentneri,11
Fritillaria glauca,19
Fritillaria pudica,26
Fritillaria purdyi,1
Fritillaria recurva,40
Lilium bolanderi,29
Lilium columbianum,119
Lilium kelloggii,1
Lilium occidentale,33
Lilium pardalinum,60
Lilium rubescens,1
Lilium washingtonianum,80
Prosartes hookeri,186
Prosartes smithii,109
Scoliopus bigelovii,3
Scoliopus hallii,47
Streptopus amplexifolius,102
Streptopus lanceolatus,30
Streptopus streptopoides,1
Tulipa sylvestris,2
