binomial,count
Abutilon pauciflorum,1
Abutilon theophrasti,18
Alcea rosea,1
Callirhoe involucrata,2
Hibiscus moscheutos,1
Hibiscus trionum,9
Iliamna bakeri,6
Iliamna latibracteata,13
Iliamna rivularis,13
Malva moschata,18
Malva neglecta,48
Malva parviflora,6
Malva pusilla,2
Malva sylvestris,17
Malvastrum coromandelianum,3
Modiola caroliniana,3
Napaea dioica,1
Sidalcea asprella,133
Sidalcea campestris,137
Sidalcea cusickii,89
Sidalcea diploscypha,1
Sidalcea elegans,11
Sidalcea glaucescens,1
Sidalcea hendersonii,12
Sidalcea hickmanii,6
Sidalcea hirsutissima,1
Sidalcea hirtipes,45
Sidalcea malachroides,4
Sidalcea malvaeflora,4
Sidalcea malviflora,41
Sidalcea maxima,1
Sidalcea nelsoniana,189
Sidalcea oregana,258
Sidalcea setosa,2
Sidalcea sparsifolia,1
Sidalcea virgata,186
Sphaeralcea munroana,2
Tilia cordata,1
Tilia platyphyllos,2
