binomial,count
Calandrinia ciliata,66
Calyptridium umbellatum,156
Cistanthe monosperma,21
Claytonia cordifolia,36
Claytonia exigua,120
Claytonia lanceolata,51
Claytonia megarhiza,16
Claytonia multiscapa,1
Claytonia parviflora,117
Claytonia perfoliata,75
Claytonia rubra,111
Claytonia saxosa,3
Claytonia sibirica,282
Claytonia wahsingtoniana,2
Claytonia washingtoniana,7
Lewisia columbiana,37
Lewisia cotyledon,34
Lewisia leeana,14
Lewisia nevadensis,25
Lewisia oppositifolia,42
Lewisia pygmaea,3
Lewisia rediviva,10
Lewisia triphylla,42
Lewisia whiteae,1
Montia chamissoi,34
Montia dichotoma,23
Montia diffusa,48
Montia fontana,78
Montia howellii,42
Montia linearis,100
Montia parvifolia,208
Spraguea multiceps,3
