binomial,count
Camissonia contorta,12
Camissonia pusilla,1
Camissoniopsis cheiranthifolia,43
Chamerion angustifolium,110
Chamerion latifolium,3
Chylismia scapoidea,1
Circaea alpina,90
Clarkia amoena,154
Clarkia gracilis,72
Clarkia heterandra,5
Clarkia lassenensis,11
Clarkia pulchella,24
Clarkia purpurea,64
Clarkia quadrivulnera,112
Clarkia rhomboidea,89
Clarkia unguiculata,3
Clarkia viminea,46
Epilobium alpinum,4
Epilobium brachycarpum,186
Epilobium campestre,22
Epilobium canum,21
Epilobium ciliatum,267
Epilobium clavatum,17
Epilobium densiflorum,98
Epilobium glaberrimum,80
Epilobium glandulosum,64
Epilobium hallianum,88
Epilobium hirsutum,1
Epilobium hornemannii,88
Epilobium lactiflorum,61
Epilobium leptocarpum,1
Epilobium leptophyllum,1
Epilobium luteum,13
Epilobium minutum,188
Epilobium obcordatum,7
Epilobium oreganum,11
Epilobium oregonense,29
Epilobium pallidum,4
Epilobium palustre,4
Epilobium rigidum,35
Epilobium siskiyouense,2
Epilobium tetragonum,1
Epilobium torreyi,51
Eremothera minor,2
Fuchsia hybrida,2
Fuchsia magellanica,25
Gayophytum decipiens,2
Gayophytum diffusum,91
Gayophytum heterozygum,49
Gayophytum humile,29
Gayophytum racemosum,8
Gayophytum ramosissimum,26
Ludwigia grandiflora,8
Ludwigia hexapetala,13
Ludwigia palustris,95
Ludwigia peploides,15
Neoholmgrenia andina,9
Oenothera biennis,29
Oenothera cespitosa,1
Oenothera curtiflora,1
Oenothera deltoides,13
Oenothera elata,5
Oenothera flava,4
Oenothera glazioviana,22
Oenothera laciniata,1
Oenothera pallida,8
Oenothera rosea,1
Oenothera stricta,3
Oenothera villosa,36
Oenothera wolfii,12
Taraxia ovata,6
Taraxia subacaulis,16
Taraxia tanacetifolia,45
Tetrapteron graciliflorum,7
