binomial,count
Calypso borealis,1
Calypso bulbosa,99
Cephalanthera austiniae,61
Corallorhiza maculata,152
Corallorhiza mertensiana,98
Corallorhiza striata,71
Corallorhiza trifida,4
Corallorhiza wisteriana,1
Cypripedium californicum,30
Cypripedium fasciculatum,11
Cypripedium montanum,51
Epipactis gigantea,58
Epipactis helleborine,9
Goodyera oblongifolia,68
Habenaria aggregata,1
Listera banksiana,85
Listera convallarioides,21
Listera cordata,77
Phalaenopsis barbara,1
Platanthera dilatata,162
Platanthera elegans,58
Platanthera elongata,8
Platanthera ephemerantha,4
Platanthera huronensis,1
Platanthera sparsiflora,68
Platanthera stricta,110
Platanthera transversa,31
Platanthera unalascensis,60
Spiranthes porrifolia,19
Spiranthes romanzoffiana,82
Spiranthes stellata,12
