binomial,count
Aphyllon californicum,6
Aphyllon corymbosum,1
Aphyllon fasciculatum,34
Aphyllon ludovicianum,1
Aphyllon pinorum,16
Aphyllon purpureum,76
Aphyllon uniflorum,9
Bellardia viscosa,81
Boschniakia tuberosa,1
Castilleja affinis,17
Castilleja ambigua,58
Castilleja angustifolia,2
Castilleja applegatei,105
Castilleja arachnoidea,126
Castilleja attenuata,42
Castilleja brevilobata,22
Castilleja campestris,10
Castilleja chambersii,10
Castilleja chlorotica,16
Castilleja chromosa,8
Castilleja chrysantha,1
Castilleja collegiorum,1
Castilleja eastwoodiana,1
Castilleja elata,44
Castilleja hispida,142
Castilleja lacera,28
Castilleja levisecta,7
Castilleja linariifolia,7
Castilleja litoralis,75
Castilleja mendocinensis,11
Castilleja miniata,217
Castilleja minor,2
Castilleja oresbia,1
Castilleja parviflora,70
Castilleja peckiana,19
Castilleja pilosa,45
Castilleja pruinosa,228
Castilleja pumicicola,1
Castilleja rhexiifolia,2
Castilleja rubicundula,5
Castilleja rupicola,15
Castilleja schizotricha,14
Castilleja suksdorfii,67
Castilleja tenuis,137
Castilleja thompsonii,3
Castilleja viscidula,24
Chloropyron maritimum,21
Cordylanthus capitatus,3
Cordylanthus ramosus,8
Cordylanthus tenuis,34
Euphrasia nemorosa,5
Kopsiopsis hookeri,38
Kopsiopsis strobilacea,50
Orobanche minor,15
Orobanche uniflora,3
Orthocarpus bracteosus,80
Orthocarpus cuspidatus,63
Orthocarpus imbricatus,82
Orthocarpus luteus,9
Orthocarpus tenuifolius,1
Pedicularis attollens,40
Pedicularis aurantiaca,8
Pedicularis bracteosa,52
Pedicularis centranthera,5
Pedicularis contorta,7
Pedicularis densiflora,33
Pedicularis groenlandica,90
Pedicularis howellii,9
Pedicularis nemorensis,1
Pedicularis racemosa,106
Pedicularis semibarbata,2
Rhinanthus minor,20
Triphysaria eriantha,24
Triphysaria pusilla,95
Triphysaria versicolor,8
