binomial,count
Diplacus aurantiacus,13
Diplacus bolanderi,2
Diplacus cascadensis,36
Diplacus clivicola,1
Diplacus congdonii,3
Diplacus cusickii,11
Diplacus cusickioides,1
Diplacus deschutesensis,22
Diplacus douglasii,38
Diplacus jepsonii,23
Diplacus kelloggii,11
Diplacus nanus,71
Diplacus pygmaeus,6
Diplacus tricolor,25
Erythranthe alsinoides,110
Erythranthe arvensis,2
Erythranthe breviflora,19
Erythranthe breweri,67
Erythranthe caespitosa,2
Erythranthe cardinalis,46
Erythranthe decora,37
Erythranthe dentata,88
Erythranthe floribunda,16
Erythranthe grandis,38
Erythranthe guttata,178
Erythranthe guttatus,1
Erythranthe inflatula,6
Erythranthe inodora,27
Erythranthe lewisii,76
Erythranthe microphylla,153
Erythranthe moniliformis,21
Erythranthe moschata,108
Erythranthe nasuta,38
Erythranthe primuloides,96
Erythranthe pulsiferae,17
Erythranthe scouleri,4
Erythranthe suksdorfii,4
Erythranthe tilingii,29
Erythranthe washingtoniensis,2
Eunanaus cusickii,1
Mimetanthe pilosa,12
Mimulus breviflorus,1
Mimulus microcarpus,1
Mimulus nanus,1
Mimulus primuloides,1
Mimulus ringens,2
Mimulus washingtonensis,2
