binomial,count
Abies amabilis,43
Abies concolor,79
Abies grandis,60
Abies lasiocarpa,38
Abies procera,57
Abies shastensis,42
Cedrus atlantica,1
Cedrus deodara,9
Cedrus libani,1
Larix decidua,1
Larix kaempferi,1
Larix laricina,1
Larix occidentalis,18
Picea breweriana,26
Picea engelmannii,31
Picea sitchensis,46
Pinus albicaulis,25
Pinus attenuata,23
Pinus balfouriana,1
Pinus contorta,101
Pinus densiflora,1
Pinus engelmannii,1
Pinus flexilis,1
Pinus jeffreyi,30
Pinus lambertiana,30
Pinus monticola,71
Pinus muricata,3
Pinus nigra,1
Pinus parviflora,1
Pinus pinaster,5
Pinus ponderosa,47
Pinus rigida,1
Pinus sabiniana,27
Pinus strobus,3
Pinus sylvestris,4
Pseudotsuga menziesii,97
Tsuga heterophylla,87
Tsuga mertensiana,51
