binomial,count
Antirrhinum majus,3
Callitriche brutia,1
Callitriche hermaphroditica,22
Callitriche heterophylla,36
Callitriche marginata,7
Callitriche palustris,26
Callitriche stagnalis,38
Callitriche stenoptera,1
Callitriche trochlearis,2
Collinsia grandiflora,170
Collinsia latifolia,10
Collinsia linearis,113
Collinsia multiflora,2
Collinsia parviflora,274
Collinsia rattanii,86
Collinsia sparsiflora,36
Collinsia torreyi,10
Cymbalaria muralis,10
Digitalis purpurea,64
Gratiola ebracteata,75
Gratiola neglecta,30
Hebe buxifolia,1
Hebe franciscana,1
Hippuris vulgaris,36
Keckiella lemmonii,2
Kickxia elatine,35
Kickxia spuria,12
Linaria dalmatica,13
Linaria maroccana,3
Linaria purpurea,2
Linaria triornithophora,2
Linaria vulgaris,40
Misopates orontium,37
Nothochelone nemorosa,114
Nuttallanthus canadensis,1
Nuttallanthus texanus,13
Penstemon acuminatus,3
Penstemon anguineus,53
Penstemon attenuatus,1
Penstemon azureus,38
Penstemon barrettiae,9
Penstemon brachyanthus,1
Penstemon cardwellii,152
Penstemon cinicola,81
Penstemon confertus,17
Penstemon cusickii,1
Penstemon davidsonii,167
Penstemon deserticola,1
Penstemon deustus,88
Penstemon euglaucus,81
Penstemon flavescens,1
Penstemon fruticosus,36
Penstemon gairdneri,1
Penstemon glandulosus,2
Penstemon glaucinus,13
Penstemon gracilentus,3
Penstemon hesperius,4
Penstemon heterophyllus,2
Penstemon humilis,79
Penstemon laetus,47
Penstemon montanus,1
Penstemon newberryi,16
Penstemon ovatus,30
Penstemon parvulus,19
Penstemon peckii,35
Penstemon procerus,140
Penstemon rattanii,52
Penstemon richardsonii,29
Penstemon roezlii,103
Penstemon rupicola,82
Penstemon rydbergii,46
Penstemon seorsus,1
Penstemon serrulatus,143
Penstemon speciosus,64
Penstemon subserratus,9
Plantago arenaria,17
Plantago aristata,4
Plantago coronopus,22
Plantago elongata,21
Plantago erecta,24
Plantago eriopoda,2
Plantago lanceolata,85
Plantago macrocarpa,6
Plantago major,75
Plantago maritima,71
Plantago patagonica,7
Plantago pusilla,17
Plantago subnuda,20
Plantago virginica,7
Sairocarpus breweri,5
Sairocarpus kingii,1
Sairocarpus vexillocalyculatus,1
Synthyris cordata,45
Synthyris missurica,57
Synthyris reniformis,171
Synthyris rubra,2
Synthyris schizantha,10
Tonella collinsioides,16
Tonella floribunda,1
Tonella tenella,89
Veronica agrestis,5
Veronica americana,153
Veronica anagallis-aquatica,7
Veronica arguteserrata,1
Veronica arvensis,56
Veronica catenata,15
Veronica chamaedrys,7
Veronica cusickii,1
Veronica filiformis,13
Veronica hederifolia,9
Veronica longifolia,2
Veronica officinalis,22
Veronica peregrina,71
Veronica persica,38
Veronica scutellata,113
Veronica serpyllifolia,141
Veronica undulata,4
Veronica wormskjoldii,82
