binomial,count
Achnatherum bloomeri,1
Achnatherum hymenoides,18
Achnatherum lemmonii,108
Achnatherum lettermanii,3
Achnatherum nelsonii,35
Achnatherum occidentale,81
Achnatherum thurberianum,22
Aegilops comosa,2
Aegilops cylindrica,3
Aegilops neglecta,2
Aegilops speltoides,3
Aegilops triuncialis,3
Aegilops umbellata,2
Agropogon lutosus,3
Agropyron cristatum,13
Agropyron lutosus,1
Agrostis alba,1
Agrostis canina,4
Agrostis capillaris,57
Agrostis castellana,21
Agrostis densiflora,8
Agrostis exarata,235
Agrostis gigantea,25
Agrostis hallii,48
Agrostis hendersonii,1
Agrostis howellii,9
Agrostis idahoensis,18
Agrostis microphylla,20
Agrostis murbeckii,1
Agrostis nebulosa,1
Agrostis oregonensis,32
Agrostis pallens,107
Agrostis rossae,1
Agrostis scabra,76
Agrostis stolonifera,130
Agrostis variabilis,26
Aira caryophyllea,150
Aira praecox,39
Alopecurus aequalis,51
Alopecurus carolinianus,1
Alopecurus geniculatus,55
Alopecurus myosuroides,5
Alopecurus pratensis,37
Alopecurus saccatus,14
Amelichloa caudata,1
Ammophila arenaria,32
Ammophila breviligulata,3
Anthoxanthum aristatum,9
Anthoxanthum hirtum,8
Anthoxanthum occidentale,54
Anthoxanthum odoratum,71
Apera interrupta,10
Apera spica-venti,5
Aristida oligantha,19
Arrhenatherum elatius,34
Arundo donax,2
Avena barbata,20
Avena fatua,36
Avena sativa,9
Beckmannia syzigachne,56
Brachypodium distachyon,1
Brachypodium sylvaticum,31
Briza maxima,22
Briza minor,85
Bromus anomalus,2
Bromus arenarius,4
Bromus berteroanus,1
Bromus briziformis,9
Bromus carinatus,139
Bromus catharticus,16
Bromus ciliatus,9
Bromus commutatus,60
Bromus diandrus,60
Bromus hordeaceus,101
Bromus inermis,18
Bromus japonicus,10
Bromus laevipes,26
Bromus madritensis,3
Bromus orcuttianus,30
Bromus pacificus,4
Bromus pratensis,1
Bromus racemosus,6
Bromus rubens,18
Bromus secalinus,30
Bromus sitchensis,151
Bromus sterilis,45
Bromus suksdorfii,40
Bromus tectorum,72
Bromus vulgaris,129
Calamagrostis breweri,9
Calamagrostis canadensis,77
Calamagrostis howellii,27
Calamagrostis koelerioides,18
Calamagrostis nutkaensis,55
Calamagrostis rubescens,7
Calamagrostis stricta,33
Calamagrostis tacomensis,1
Cenchrus longispinus,8
Chloris radiata,1
Cinna latifolia,38
Cladoraphis cyperoides,2
Coleanthus subtilis,10
Coleataenia longifolia,7
Cortaderia jubata,11
Cortaderia selloana,21
Crypsis alopecuroides,30
Crypsis schoenoides,7
Cynodon dactylon,30
Cynodon magennisii,1
Cynosurus cristatus,29
Cynosurus echinatus,64
Dactylis glomerata,53
Danthonia californica,109
Danthonia decumbens,7
Danthonia intermedia,42
Danthonia spicata,4
Danthonia unispicata,19
Deschampsia cespitosa,154
Deschampsia danthonioides,56
Deschampsia elongata,88
Deschampsia sukatschewii,1
Desmazeria acutiflora,1
Desmazeria rigida,8
Dichanthelium acuminatum,82
Dichanthelium commutatum,1
Dichanthelium oligosanthes,32
Digitaria ischaemum,22
Digitaria sanguinalis,42
Digitaria villosa,1
Diplachne fusca,4
Distichlis spicata,38
Echinochloa colona,4
Echinochloa crus-galli,49
Echinochloa crus-pavonis,2
Echinochloa muricata,20
Ehrharta erecta,1
Eleusine indica,2
Eleusine tristachya,4
Elyhordeum macounii,5
Elyhordeum stebbinsianum,8
Elyleymus aristatus,1
Elymus elymoides,131
Elymus glaucus,182
Elymus hansenii,10
Elymus hirsutus,3
Elymus lanceolatus,9
Elymus multisetus,39
Elymus repens,40
Elymus saundersii,1
Elymus semicostatus,4
Elymus trachycaulus,47
Elymus tsukushiensis,3
Elymus violaceus,2
Elymus wawawaiensis,1
Eragrostis cilianensis,13
Eragrostis curvula,12
Eragrostis hypnoides,20
Eragrostis lutescens,1
Eragrostis mexicana,6
Eragrostis minor,3
Eragrostis pectinacea,30
Eragrostis pilosa,6
Eremopyrum triticeum,1
Festuca ammobia,4
Festuca californica,57
Festuca campestris,1
Festuca elmeri,8
Festuca filiformis,3
Festuca idahoensis,56
Festuca occidentalis,135
Festuca ovina,2
Festuca roemeri,139
Festuca rubra,240
Festuca saximontana,10
Festuca subulata,52
Festuca subuliflora,48
Festuca trachyphylla,19
Festuca valesiaca,3
Festuca viridula,32
Gastridium phleoides,50
Genea gardneri,1
Genea harknessii,1
Glyceria borealis,23
Glyceria canadensis,5
Glyceria declinata,10
Glyceria elata,68
Glyceria fluitans,3
Glyceria grandis,12
Glyceria leptostachya,30
Glyceria occidentalis,28
Glyceria striata,17
Hainardia cylindrica,3
Hesperostipa comata,8
Holcus lanatus,103
Holcus mollis,20
Hordeum brachyantherum,76
Hordeum depressum,2
Hordeum jubatum,19
Hordeum marinum,51
Hordeum murinum,30
Hordeum vulgare,6
Imperata ovata,1
Koeleria macrantha,116
Leersia oryzoides,30
Leptochloa fusca,5
Leucopoa kingii,1
Leymus cinereus,11
Leymus condensatus,1
Leymus flavescens,6
Leymus mollis,35
Leymus triticoides,39
Leymus vancouverensis,5
Lolium multiflorum,53
Lolium perenne,59
Lolium rigidum,1
Lolium temulentum,16
Melica aristata,12
Melica bulbosa,11
Melica fugax,17
Melica geyeri,39
Melica harfordii,88
Melica spectabilis,11
Melica stricta,6
Melica subulata,128
Molinia caerulea,4
Muhlenbergia andina,7
Muhlenbergia asperifolia,16
Muhlenbergia filiformis,55
Muhlenbergia mexicana,14
Muhlenbergia richardsonis,24
Muhlenbergia rigens,1
Muhlenbergia uniflora,1
Nardus stricta,5
Nassella tenuissima,3
Not onagraceae,1
Panicum acuminatum,1
Panicum capillare,36
Panicum dichotomiflorum,18
Panicum miliaceum,24
Parapholis incurva,9
Pascopyrum smithii,4
Paspalum dilatatum,32
Paspalum distichum,40
Pennisetum villosum,1
Phalaris angusta,3
Phalaris aquatica,20
Phalaris arundinacea,70
Phalaris brachystachys,2
Phalaris californica,1
Phalaris canariensis,15
Phalaris caroliniana,3
Phalaris minor,7
Phalaris paradoxa,8
Phleum alpinum,60
Phleum arenarium,6
Phleum paniculatum,2
Phleum pratense,46
Phleum subulatum,2
Phragmites australis,26
Pleuropogon hooverianus,4
Pleuropogon oregonus,6
Pleuropogon refractus,47
Poa alpina,1
Poa annua,73
Poa bolanderi,16
Poa bulbosa,28
Poa chambersii,10
Poa compressa,48
Poa confinis,34
Poa cusickii,47
Poa fendleriana,3
Poa glauca,2
Poa howellii,37
Poa infirma,7
Poa laxiflora,31
Poa leibergii,11
Poa leptocoma,6
Poa lettermanii,2
Poa macrantha,50
Poa marcida,17
Poa multnomae,10
Poa nemoralis,7
Poa nervosa,36
Poa palustris,32
Poa paucispicula,3
Poa piperi,20
Poa pratensis,119
Poa pringlei,22
Poa rhizomata,5
Poa secunda,335
Poa stenantha,37
Poa suksdorfii,4
Poa trivialis,58
Poa unilateralis,17
Poa wheeleri,54
Podagrostis humilis,3
Podagrostis thurberiana,59
Polypogon australis,1
Polypogon fugax,2
Polypogon interruptus,16
Polypogon maritimus,2
Polypogon monspeliensis,55
Polypogon viridis,8
Pseudelymus saxicola,1
Pseudoroegneria spicata,31
Puccinellia distans,12
Puccinellia lemmonii,7
Puccinellia nutkaensis,8
Puccinellia nuttalliana,9
Puccinellia pumila,11
Rostraria cristata,4
Rytidosperma biannulare,1
Rytidosperma penicillatum,4
Schedolium holmbergii,1
Schedonorus arundinaceus,56
Schedonorus pratensis,49
Sclerochloa dura,1
Scolochloa festucacea,1
Scribneria bolanderi,16
Secale cereale,20
Secale strictum,1
Setaria italica,2
Setaria parviflora,1
Setaria pumila,17
Setaria viridis,35
Sorghum bicolor,9
Sorghum halepense,21
Spartina alterniflora,7
Spartina gracilis,2
Spartina patens,4
Sphenopholis obtusata,2
Sporobolus cryptandrus,3
Sporobolus indicus,1
Taeniatherum caput-medusae,40
Thinopyrum intermedium,21
Thinopyrum junceum,7
Thinopyrum ponticum,19
Thinopyrum pycnanthum,1
Torreyochloa erecta,12
Torreyochloa pallida,64
Triplasis purpurea,9
Trisetum canescens,101
Trisetum cernuum,66
Trisetum spicatum,75
Trisetum wolfii,7
Triticum aestivum,20
Urochloa mutica,1
Vahlodea atropurpurea,43
Ventenata dubia,36
Vulpia bromoides,73
Vulpia microstachys,73
Vulpia myuros,69
Vulpia octoflora,15
Zizania palustris,2
