binomial,count
Aliciella humillima,2
Aliciella leptomeria,2
Aliciella micromeria,2
Allophyllum gilioides,11
Collomia debilis,2
Collomia grandiflora,137
Collomia heterophylla,176
Collomia larsenii,12
Collomia linearis,35
Collomia mazama,32
Collomia tenella,1
Collomia tinctoria,46
Collomia tracyi,1
Eriastrum signatum,7
Eriastrum sparsiflorum,1
Eriastrum wilcoxii,2
Gilia achilleifolia,2
Gilia bicolor,2
Gilia capitata,200
Gilia inconspicua,2
Gilia millefoliata,13
Gilia modocensis,6
Gilia sinuata,9
Ipomopsis aggregata,120
Ipomopsis congesta,32
Leptosiphon bicolor,103
Leptosiphon bolanderi,36
Leptosiphon ciliatus,27
Leptosiphon harknessii,47
Leptosiphon liniflorus,6
Leptosiphon nuttallii,38
Leptosiphon septentrionalis,15
Linanthus pungens,31
Microgilia minutiflora,1
Microsteris gracilis,234
Navarretia atractyloides,4
Navarretia breweri,10
Navarretia capillaris,17
Navarretia divaricata,48
Navarretia heterandra,4
Navarretia intertexta,116
Navarretia leptalea,2
Navarretia leucocephala,37
Navarretia linearifolia,1
Navarretia propinqua,15
Navarretia pubescens,17
Navarretia sinistra,26
Navarretia squarrosa,78
Navarretia tagetina,13
Navarretia willamettensis,12
Phlox adsurgens,51
Phlox austromontana,1
Phlox bryoides,2
Phlox caespitosa,3
Phlox condensata,5
Phlox diffusa,90
Phlox gracilis,1
Phlox hendersonii,3
Phlox hoodii,10
Phlox longifolia,7
Phlox speciosa,51
Phlox viscida,2
Polemonium californicum,98
Polemonium carneum,91
Polemonium elegans,3
Polemonium micranthum,18
Polemonium occidentale,53
Polemonium pulcherrimum,43
