binomial,count
Aconogon davisiae,2
Aconogonon alpinum,3
Aconogonon davisiae,115
Aconogonon phytolaccifolium,42
Bistorta bistortoides,125
Chorizanthe membranacea,2
Chorizanthe watsonii,3
Emex australis,1
Emex spinosa,1
Eriogonum baileyi,6
Eriogonum caespitosum,9
Eriogonum compositum,121
Eriogonum diclinum,16
Eriogonum douglasii,5
Eriogonum elatum,41
Eriogonum flavum,1
Eriogonum heracleoides,16
Eriogonum latifolium,11
Eriogonum lobbii,6
Eriogonum luteolum,13
Eriogonum maculatum,1
Eriogonum marifolium,134
Eriogonum microthecum,6
Eriogonum niveum,10
Eriogonum nudum,253
Eriogonum ovalifolium,40
Eriogonum pendulum,23
Eriogonum prociduum,10
Eriogonum pyrolifolium,107
Eriogonum roseum,3
Eriogonum rubidum,1
Eriogonum spergulinum,28
Eriogonum sphaerocephalum,39
Eriogonum strictum,29
Eriogonum ternatum,30
Eriogonum umbellatum,251
Eriogonum vimineum,46
Fagopyrum esculentum,4
Fallopia baldschuanica,1
Fallopia bohemica,20
Fallopia convolvulus,44
Fallopia japonica,26
Fallopia sachalinensis,30
Oxyria digyna,34
Oxytheca dendroidea,2
Persicaria amphibia,99
Persicaria hydropiper,55
Persicaria hydropiperoides,51
Persicaria lapathifolia,77
Persicaria maculosa,63
Persicaria orientalis,4
Persicaria pensylvanica,4
Persicaria posumbu,2
Persicaria punctata,18
Persicaria sagittata,2
Persicaria wallichii,25
Polygonum achoreum,1
Polygonum acre,1
Polygonum aviculare,75
Polygonum californicum,13
Polygonum cascadense,34
Polygonum douglasii,107
Polygonum erectum,1
Polygonum heterosepalum,2
Polygonum majus,39
Polygonum minimum,69
Polygonum nuttallii,16
Polygonum paronychia,84
Polygonum parryi,7
Polygonum polygaloides,90
Polygonum ramosissimum,3
Polygonum sachalinensis,1
Polygonum sawatchense,9
Polygonum senticosum,3
Polygonum shastense,19
Polygonum spergulariiforme,77
Polygonum wallichii,2
Rumex acetosa,3
Rumex acetosella,131
Rumex conglomeratus,32
Rumex crispus,63
Rumex cuneifolius,3
Rumex dentatus,1
Rumex maritimus,24
Rumex obtusifolius,53
Rumex occidentalis,44
Rumex patientia,1
Rumex paucifolius,8
Rumex persicarioides,5
Rumex pulcher,10
Rumex salicifolius,69
Rumex sanguineus,5
Rumex venosus,12
