binomial,count
Androsace elongata,3
Androsace filiformis,4
Androsace septentrionalis,1
Cyclamen hederifolium,5
Cyclamen purpurascens,1
Dodecatheon alpinum,40
Dodecatheon austrofrigidum,22
Dodecatheon conjugens,25
Dodecatheon dentatum,11
Dodecatheon hendersonii,114
Dodecatheon jeffreyi,114
Dodecatheon poeticum,28
Dodecatheon pulchellum,57
Dodecatheon subalpinum,1
Douglasia laevigata,28
Lysimachia arvensis,61
Lysimachia borealis,1
Lysimachia ciliata,8
Lysimachia europaea,42
Lysimachia latifolia,159
Lysimachia maritima,28
Lysimachia minima,16
Lysimachia nummularia,45
Lysimachia punctata,3
Lysimachia terrestris,16
Lysimachia thyrsiflora,9
Samolus parviflorus,1
