binomial,count
Aconitum columbianum,109
Actaea elata,52
Actaea laciniata,9
Actaea rubra,103
Adonis aestivalis,4
Anemone deltoidea,173
Anemone drummondii,59
Anemone lyallii,68
Anemone multifida,7
Anemone occidentalis,65
Anemone oregana,150
Anemone piperi,2
Anemone quinquefolia,1
Aquilegia canadensis,1
Aquilegia flavescens,2
Aquilegia formosa,174
Aquilegia sibirica,1
Beckwithia andersonii,2
Caltha leptosepala,103
Caltha palustris,18
Ceratocephala testiculata,4
Clematis hirsutissima,1
Clematis ligusticifolia,54
Clematis vitalba,8
Coptis aspleniifolia,1
Coptis laciniata,75
Coptis trifolia,3
Delphinium ajacis,7
Delphinium andersonii,10
Delphinium decorum,13
Delphinium depauperatum,35
Delphinium distichum,2
Delphinium glareosum,23
Delphinium glaucum,34
Delphinium leucophaeum,29
Delphinium menziesii,211
Delphinium nudicaule,21
Delphinium nuttallianum,205
Delphinium nuttallii,24
Delphinium occidentale,1
Delphinium oreganum,56
Delphinium patens,1
Delphinium pavonaceum,64
Delphinium stachydeum,4
Delphinium trolliifolium,94
Enemion hallii,19
Enemion occidentale,1
Enemion stipitatum,24
Eranthis hyemalis,1
Ficaria verna,13
Halerpestes cymbalaria,26
Myosuros minimus,1
Myosurus apetalus,11
Myosurus minimus,46
Nigella damascena,4
Ranunculus acris,16
Ranunculus alismifolius,122
Ranunculus aquatilis,99
Ranunculus arvensis,31
Ranunculus austro-oreganus,15
Ranunculus bulbosus,5
Ranunculus californicus,13
Ranunculus eschscholtzii,25
Ranunculus ficaria,3
Ranunculus flabellaris,10
Ranunculus flammula,140
Ranunculus glaberrimus,14
Ranunculus gmelinii,4
Ranunculus gormanii,37
Ranunculus hebecarpus,8
Ranunculus lobbii,17
Ranunculus macounii,35
Ranunculus muricatus,20
Ranunculus occidentalis,276
Ranunculus orthorhynchus,129
Ranunculus parviflorus,29
Ranunculus politus,1
Ranunculus populago,36
Ranunculus repens,85
Ranunculus sardous,11
Ranunculus sceleratus,25
Ranunculus tenellus,1
Ranunculus triternatus,2
Ranunculus uncinatus,156
Thalictrum fendleri,2
Thalictrum occidentale,90
Thalictrum polycarpum,29
Thalictrum sparsiflorum,7
Thalictrum venulosum,3
Trautvetteria caroliniensis,51
