binomial,count
Asperula orientalis,1
Crucianella angustifolia,1
Cruciata pedemontana,9
Galium ambiguum,71
Galium andrewsii,1
Galium aparine,133
Galium bifolium,38
Galium bolanderi,36
Galium boreale,54
Galium californicum,1
Galium divaricatum,16
Galium glabrescens,3
Galium grayanum,3
Galium mexicanum,7
Galium mollugo,14
Galium multiflorum,6
Galium muricatum,7
Galium nuttallii,1
Galium odoratum,8
Galium oreganum,96
Galium parisiense,24
Galium porrigens,13
Galium pumilum,1
Galium serpenticum,9
Galium sylvaticum,1
Galium tinctorium,1
Galium tricornutum,9
Galium trifidum,171
Galium triflorum,149
Galium uliginosum,1
Galium verum,16
Kelloggia galioides,78
Rubia tinctoria,3
Sherardia arvensis,71
