binomial,count
Populus alba,11
Populus canadensis,2
Populus deltoides,4
Populus fremontii,3
Populus nigra,2
Populus tremuloides,43
Populus trichocarpa,66
Salix alba,3
Salix amygdaloides,6
Salix barclayi,1
Salix bebbiana,4
Salix boothii,73
Salix cascadensis,1
Salix commutata,76
Salix delnortensis,22
Salix eastwoodiae,51
Salix eriocephala,3
Salix euxina,1
Salix exigua,72
Salix fragilis,1
Salix geyeriana,104
Salix hookeriana,183
Salix laevigata,2
Salix lasiandra,170
Salix lasiolepis,85
Salix lemmonii,48
Salix ligulifolia,8
Salix lucida,4
Salix lutea,6
Salix melanopsis,62
Salix myrtillifolia,3
Salix orestera,3
Salix pedicellaris,9
Salix pendulina,3
Salix planifolia,14
Salix prolixa,63
Salix rubens,1
Salix scouleriana,250
Salix sepulcralis,2
Salix sessilifolia,64
Salix sitchensis,254
Salix tracyi,2
