binomial,count
Bensoniella oregona,21
Bolandra oregana,32
Boykinia intermedia,5
Boykinia major,72
Boykinia occidentalis,154
Cascadia nuttallii,83
Chrysosplenium glechomifolium,51
Darmera peltata,37
Elmera racemosa,5
Hemieva ranunculifolia,6
Heuchera chlorantha,35
Heuchera cylindrica,25
Heuchera glabra,17
Heuchera grossulariifolia,9
Heuchera merriamii,7
Heuchera micrantha,196
Heuchera pilosissima,10
Heuchera rubescens,1
Leptarrhena pyrolifolia,21
Leptasea tolmiei,1
Lithophragma affine,13
Lithophragma campanulatum,16
Lithophragma glabrum,43
Lithophragma heterophylla,1
Lithophragma heterophyllum,1
Lithophragma parviflorum,137
Lithophragma tenellum,11
Micranthes apetala,1
Micranthes aprica,7
Micranthes californica,22
Micranthes ferruginea,95
Micranthes fragosa,39
Micranthes gormanii,39
Micranthes hitchcockiana,13
Micranthes howellii,33
Micranthes integrifolia,99
Micranthes marshallii,56
Micranthes nelsoniana,13
Micranthes nidifica,9
Micranthes occidentalis,7
Micranthes odontoloma,29
Micranthes oregana,132
Micranthes rhomboidea,1
Micranthes rufidula,77
Micranthes tolmiei,63
Mitella nuda,1
Mitellastra caulescens,77
Ozomelis diversifolia,33
Ozomelis trifida,39
Pectiantia breweri,58
Pectiantia ovalis,97
Pectiantia pentandra,69
Saxifraga aequidentata,1
Saxifraga bronchialis,2
Saxifraga cespitosa,53
Saxifraga hybrid,2
Saxifraga latipetiolata,5
Saxifraga marshallii,11
Saxifraga mertensiana,117
Saxifraga sibthorpii,2
Saxifraga tridactylites,2
Saxifraga vespertina,54
Saxifragopsis fragarioides,7
Suksdorfia violacea,7
Sullivantia oregana,11
Tellima grandiflora,198
Tiarella trifoliata,230
Tolmiea diplomenziesii,61
Tolmiea menziesii,105
