binomial,count
Calibrachoa parviflora,3
Datura discolor,1
Datura quercifolia,1
Datura stramonium,35
Datura wrightii,1
Hyoscyamus niger,2
Leucophysalis nana,35
Lycium barbarum,3
Lycium chinense,1
Nicandra physalodes,4
Nicotiana acuminata,3
Nicotiana attenuata,27
Nicotiana glauca,1
Nicotiana obtusifolia,1
Nicotiana quadrivalvis,6
Nicotiana rustica,2
Physalis grisea,3
Physalis heterophylla,1
Physalis lanceolata,1
Physalis longifolia,1
Physalis philadelphica,2
Solanum americanum,38
Solanum douglasii,1
Solanum dulcamara,44
Solanum furcatum,7
Solanum lycopersicum,1
Solanum marginatum,1
Solanum nigrescens,2
Solanum nigrum,13
Solanum parishii,21
Solanum physalifolium,33
Solanum rostratum,19
Solanum sarachoides,7
Solanum sisymbriifolium,9
Solanum triflorum,10
Solanum tuberosum,3
Solanum umbelliferum,4
