binomial,count
Amaranthus albus,25
Amaranthus blitoides,14
Amaranthus blitum,18
Amaranthus californicus,5
Amaranthus caudatus,4
Amaranthus cruentus,5
Amaranthus hybridus,4
Amaranthus hypochondriacus,4
Amaranthus powellii,37
Amaranthus retroflexus,14
Amaranthus tuberculatus,4
Atriplex calotheca,2
Atriplex dioica,115
Atriplex gmelinii,47
Atriplex heterosperma,3
Atriplex hortensis,2
Atriplex littoralis,5
Atriplex nudicaulis,10
Atriplex patula,35
Atriplex powellii,1
Atriplex prostata,1
Atriplex prostrata,45
Atriplex rosea,6
Atriplex semibaccata,1
Atriplex truncata,3
Axyris amaranthoides,3
Bassia hyssopifolia,2
Bassia scoparia,4
Beta vulgaris,3
Blitum capitatum,4
Blitum nuttallianum,7
Blitum spathulatum,1
Chenopodiastrum hybridum,4
Chenopodiastrum murale,5
Chenopodiastrum simplex,4
Chenopodium album,50
Chenopodium berlandieri,22
Chenopodium desiccatum,6
Chenopodium ficifolium,8
Chenopodium fremontii,1
Chenopodium leptophyllum,5
Chenopodium pratericola,5
Chenopodium strictum,3
Corispermum americanum,3
Corispermum hookeri,6
Corispermum hyssopifolium,5
Corispermum pacificum,5
Corispermum pallasii,13
Corispermum pallidum,4
Corispermum villosum,8
Cycloloma atriplicifolium,1
Dysphania ambrosioides,10
Dysphania botrys,16
Dysphania pumilio,11
Grayia spinosa,2
Lipandra polysperma,7
Oxybasis chenopodioides,9
Oxybasis glauca,21
Oxybasis macrosperma,16
Oxybasis rubra,36
Salicornia depressa,48
Salsola collina,3
Salsola tragus,14
Sarcocornia pacifica,7
Sarcocornia perennis,60
Spinacia oleracea,1
Suaeda calceoliformis,8
Suaeda maritima,1
Suaeda nigra,1
