binomial,count
Aegopodium podagraria,10
Anethum graveolens,1
Angelica arguta,36
Angelica canbyi,7
Angelica genuflexa,55
Angelica hendersonii,12
Angelica lucida,25
Anthriscus caucalis,26
Anthriscus cerefolium,2
Anthriscus sylvestris,6
Apium graveolens,1
Astrantia major,3
Berula erecta,4
Berula incisa,1
Carum carvi,8
Chaerophyllum temulum,13
Cicuta bulbifera,3
Cicuta douglasii,50
Cicuta vagans,9
Conioselinum benthami,1
Conioselinum chinense,3
Conioselinum pacificum,50
Conium maculatum,32
Coriandrum sativum,5
Cryptotaenia japonica,1
Cyclospermum leptophyllum,2
Cymopterus foeniculaceus,5
Cynomarathrum brandegei,1
Daucus carota,47
Daucus pusillus,48
Deweya stricklandi,2
Eryngium articulatum,1
Eryngium petiolatum,2
Eryngium planum,1
Foeniculum vulgare,5
Glehnia littoralis,49
Heracleum mantegazzianum,19
Heracleum maximum,71
Levisticum officinale,1
Ligusticum apiifolium,17
Ligusticum calderi,1
Ligusticum canbyi,8
Ligusticum grayi,48
Ligusticum porteri,1
Ligusticum scoticum,1
Ligusticum tenuifolium,1
Lilaeopsis chinensis,1
Lilaeopsis occidentalis,56
Lilaeopsis sublata,1
Lileaopsis occidentalis,3
Lomatium ambiguum,5
Lomatium bradshawii,3
Lomatium brandegeei,5
Lomatium brevifolium,62
Lomatium canbyi,13
Lomatium ciliolatum,1
Lomatium columbianum,43
Lomatium cuspidatum,3
Lomatium dissectum,23
Lomatium farinosum,11
Lomatium geyeri,17
Lomatium gormanii,7
Lomatium grayi,51
Lomatium knokei,9
Lomatium leptocarpum,1
Lomatium linearifolia,1
Lomatium linearifolium,2
Lomatium lithosoloides,1
Lomatium macrocarpum,37
Lomatium martindalei,108
Lomatium multifidum,21
Lomatium nudicaule,125
Lomatium piperi,26
Lomatium salmoniflorum,1
Lomatium sandbergii,1
Lomatium serpentinum,1
Lomatium simplex,2
Lomatium suksdorfii,65
Lomatium terebinthinum,7
Lomatium thompsonii,5
Lomatium triternatum,77
Lomatium tuberosum,2
Lomatium utriculatum,93
Lomatium watsonii,12
Myrrhis odorata,8
Oenanthe sarmentosa,112
Osmorhiza berteroi,148
Osmorhiza depauperata,2
Osmorhiza occidentalis,34
Osmorhiza purpurea,51
Pastinaca sativa,13
Perideridia gairdneri,16
Perideridia montana,24
Perideridia oregana,5
Petroselinum crispum,11
Peucedanum leiocarpum,1
Peucedanum utriculatum,2
Pimpinella major,1
Pimpinella saxifraga,2
Sanicula arctopoides,17
Sanicula bipinnatifida,31
Sanicula crassicaulis,144
Sanicula diversiloba,1
Sanicula graveolens,41
Selinum hookeri,7
Sium cicutaefolium,3
Sium suave,43
Tauschia stricklandii,22
Torilis arvensis,16
Torilis japonica,9
Trachyspermum ammi,1
Yabea microcarpa,13
Zizia aptera,2
