binomial,count
Asparagus officinalis,8
Asparagus setaceus,1
Brodiaea coronaria,79
Brodiaea howellii,1
Brodiaea rosea,4
Camassia leichtlinii,80
Camassia quamash,136
Camassia scilloides,2
Chionodoxa luciliae,1
Convallaria majalis,2
Convallaria sp,1
Dichelostemma capitatum,2
Dichelostemma congestum,18
Hyacinthoides hispanica,6
Hyacinthoides massartiana,25
Maianthemum bifolium,1
Maianthemum dilatatum,156
Maianthemum racemosum,92
Maianthemum stellatum,104
Muscari americanum,1
Muscari armeniacum,9
Muscari botryoides,1
Muscari neglectum,3
Ornithogalum angustifolium,1
Ornithogalum umbellatum,4
Polygonatum hybrida,1
Polygonatum hybridum,1
Scilla siberica,1
Triteleia grandiflora,51
Triteleia hyacinthina,68
Unifolium bifolium,1
