binomial,count
Achillea filipendulina,2
Achillea millefolium,258
Adenocaulon bicolor,62
Ageratina occidentalis,3
Agoseris apargioides,7
Agoseris aurantiaca,136
Agoseris elata,15
Agoseris glauca,52
Agoseris grandiflora,59
Agoseris heterophylla,54
Agoseris monticola,9
Agoseris retrorsa,11
Ambrosia acanthicarpa,6
Ambrosia artemisiifolia,12
Ambrosia chamissonis,85
Ambrosia psilostachya,1
Ambrosia trifida,3
Anaphalis margaritacea,176
Anisocarpus madioides,54
Antennaria alpina,8
Antennaria anaphaloides,6
Antennaria carpatica,20
Antennaria dimorpha,11
Antennaria flagellaris,9
Antennaria geyeri,4
Antennaria howellii,39
Antennaria lanata,42
Antennaria luzuloides,14
Antennaria media,20
Antennaria microphylla,9
Antennaria neglecta,11
Antennaria parvifolia,2
Antennaria pulcherrima,2
Antennaria racemosa,45
Antennaria rosea,70
Antennaria stenophylla,3
Antennaria umbrinella,11
Anthemis arvensis,23
Anthemis cotula,44
Aplopappus bloomeri,5
Aplopappus resinosus,1
Aplopappus stenophyllus,1
Arctium lappa,6
Arctium minus,36
Arnica betonicaefolia,1
Arnica betonicifolia,2
Arnica chamissonis,10
Arnica cordifolia,37
Arnica discoidea,6
Arnica fulgens,5
Arnica gracilis,17
Arnica hirticaulis,2
Arnica lanceolata,48
Arnica latifolia,130
Arnica longifolia,7
Arnica macounii,3
Arnica mollis,49
Arnica nevadensis,4
Arnica ovata,7
Arnica parryi,34
Arnica rydbergii,15
Arnica sororia,1
Artemisia absinthium,6
Artemisia annua,1
Artemisia biennis,8
Artemisia borealis,11
Artemisia campestris,45
Artemisia douglasiana,21
Artemisia dracunculus,7
Artemisia frigida,1
Artemisia furcata,16
Artemisia ludoviciana,32
Artemisia michauxiana,9
Artemisia norvegica,19
Artemisia rigida,1
Artemisia stelleriana,2
Artemisia suksdorfii,81
Artemisia tilesii,27
Artemisia tridentata,18
Artemisia tripartita,1
Artemisia vulgaris,13
Aster chilensis,1
Aster eatonii,2
Aster engelmannii,1
Aster foliaceus,11
Aster hallii,2
Aster humistratus,1
Baccharis pilularis,4
Balsamorhiza Balsamorhiza,3
Balsamorhiza careyana,11
Balsamorhiza deltoidea,47
Balsamorhiza hookeri,20
Balsamorhiza incana,2
Balsamorhiza rosea,2
Balsamorhiza sagittata,9
Bellis perennis,61
Bidens amplissima,80
Bidens beckii,8
Bidens cernua,89
Bidens connata,22
Bidens frondosa,49
Bidens laevis,1
Bidens pilosa,1
Bidens tripartita,25
Bidens vulgata,10
Blepharipappus scaber,2
Boltonia asteroides,3
Brickellia grandiflora,2
Brickellia oblongifolia,2
Cacaliopsis nardosmia,36
Calendula officinalis,6
Callistephus chinensis,1
Canadanthus modestus,65
Carduus edulis,1
Carduus nutans,2
Carduus tenuiflorus,6
Carthamus tinctorius,6
Cassinia fulvida,2
Centaurea benedicta,1
Centaurea biebersteinii,1
Centaurea calcitrapa,1
Centaurea cardunculus,2
Centaurea cyanus,33
Centaurea dealbata,1
Centaurea debeauxii,4
Centaurea diffusa,22
Centaurea gerstlaueri,48
Centaurea jacea,20
Centaurea macrocephala,3
Centaurea melitensis,10
Centaurea montana,18
Centaurea nigra,4
Centaurea nigrescens,3
Centaurea ragusina,2
Centaurea solstitialis,14
Centaurea stoebe,33
Centaurea varnensis,6
Centromadia pungens,1
Chaenactis douglasii,21
Chondrilla juncea,1
Chrysanthemum cenerasiafolium,1
Chrysanthemum leucanthemum,1
Chrysothamnus bloomeri,1
Chrysothamnus viscidiflorus,10
Cichorium endiva,1
Cichorium intybus,25
Cichorum intybus,1
Cirsium arvense,66
Cirsium brevifolium,1
Cirsium brevistylum,21
Cirsium edule,57
Cirsium remotifolium,22
Cirsium undulatum,9
Cirsium vulgare,69
Columbiadoria hallii,10
Conyza bonariensis,6
Conyza canadensis,49
Coreopsis grandiflora,4
Coreopsis lanceolata,3
Coreopsis tinctoria,14
Coreopsis verticillata,1
Cosmos bipinnatus,4
Cosmos sulphureus,1
Cota tinctoria,8
Cotula coronopifolia,71
Cotula intermedia,1
Crepis atribarba,12
Crepis barbigera,8
Crepis biennis,1
Crepis capillaris,121
Crepis gracilis,1
Crepis intermedia,12
Crepis modocensis,6
Crepis nana,16
Crepis nicaeensis,4
Crepis occidentalis,17
Crepis runcinata,1
Crepis setosa,1
Crepis tectorum,2
Crepis vesicaria,5
Crocidium multicaule,41
Crocidium pugetense,1
Cyclachaena xanthiifolia,4
Dieteria canescens,4
Doronicum pardalianches,6
Echinacea purpurea,1
Echinops exaltatus,1
Echinops sphaerocephalus,1
Erechtites glomeratus,2
Erechtites hieraciifolius,4
Erechtites minimus,14
Ericameria bloomeri,13
Ericameria discoidea,2
Ericameria nauseosa,10
Ericameria resinosa,8
