binomial,count
Adelinia grande,13
Allocarya fragilis,2
Amsinckia incongruens,1
Amsinckia lycopsoides,38
Amsinckia melanocarpa,1
Amsinckia menziesii,77
Amsinckia retrorsa,11
Amsinckia spectabilis,15
Amsinckia tessellata,12
Anchusa arvensis,2
Anchusa azurea,3
Anchusa officinalis,3
Andersonglossum occidentale,1
Asperugo procumbens,1
Borago officinalis,15
Buglossoides arvensis,15
Cryptantha affinis,10
Cryptantha ambigua,16
Cryptantha flaccida,23
Cryptantha intermedia,44
Cryptantha muricata,5
Cryptantha pterocarya,9
Cryptantha rostellata,3
Cryptantha simulans,2
Cryptantha torreyana,28
Cynoglossum officinale,4
Echium plantagineum,1
Echium vulgare,5
Greeneocharis circumscissa,1
Hackelia diffusa,17
Hackelia floribunda,1
Hackelia micrantha,12
Hackelia patens,2
Lappula longispina,1
Lappula redowskii,3
Lappula squarrosa,1
Lithospermum ruderale,22
Mertensia ciliata,4
Mertensia denticulata,2
Mertensia laevigata,1
Mertensia leptophylla,1
Mertensia longiflora,9
Mertensia oblongifolia,7
Mertensia paniculata,92
Mertensia platyphylla,21
Mertensia umbratilis,2
Myosotis arvensis,26
Myosotis azorica,1
Myosotis discolor,98
Myosotis laxa,88
Myosotis scorpioides,44
Myosotis stricta,26
Myosotis sylvatica,26
Myosotis verna,8
Omphalodes cappadocica,1
Oreocarya glomerata,6
Pectocarya penicillata,3
Pectocarya pusilla,7
Pentaglottis sempervirens,23
Plagiobothrys canescens,1
Plagiobothrys figuratus,11
Plagiobothrys hirtus,10
Plagiobothrys hispidulus,34
Plagiobothrys humistratus,5
Plagiobothrys leptocladus,2
Plagiobothrys medius,3
Plagiobothrys nothofulvus,7
Plagiobothrys ramosus,1
Plagiobothrys scouleri,57
Plagiobothrys stipitatus,1
Plagiobothrys tenellus,18
Symphytum asperum,8
Symphytum grandiflorum,1
Symphytum officinale,17
Symphytum orientale,1
Symphytum uplandicum,14
