binomial,count
Alliaria petiolata,17
Alyssum alyssoides,4
Arabidopsis lyrata,4
Arabidopsis thaliana,63
Arabis aubretioides,1
Arabis caucasica,3
Arabis eschscholtziana,33
Arabis furcata,43
Arabis gerardii,19
Arabis glauca,1
Arabis nuttallii,1
Arabis olympica,3
Arabis pycnocarpa,35
Armoracia rusticana,1
Athysanus pusillus,18
Aubrieta deltoidea,3
Aurinia saxatilis,1
Barbarea intermedia,2
Barbarea orthoceras,82
Barbarea verna,17
Barbarea vulgaris,19
Berteroa incana,5
Boechera atrorubens,10
Boechera calderi,2
Boechera cobrensis,1
Boechera collinsii,1
Boechera cusickii,1
Boechera divaricarpa,13
Boechera grahamii,1
Boechera howellii,1
Boechera lemmonii,4
Boechera lyallii,36
Boechera microphylla,10
Boechera paddoensis,5
Boechera pauciflora,18
Boechera paupercula,2
Boechera pendulocarpa,12
Boechera pinetorum,3
Boechera puberula,4
Boechera retrofracta,30
Boechera sparsiflora,5
Boechera stricta,24
Boechera suffrutescens,4
Brassica arvensis,1
Brassica juncea,15
Brassica napus,17
Brassica nigra,16
Brassica oleracea,2
Brassica rapa,49
Cakile edentula,71
Cakile maritima,49
Cakile martima,1
Camelina microcarpa,14
Camelina sativa,1
Capsella bursa-pastoris,70
Cardamine angulata,47
Cardamine bellidifolia,5
Cardamine breweri,41
Cardamine cordifolia,13
Cardamine corymbosa,11
Cardamine diphylla,4
Cardamine flexuosa,42
Cardamine helleriana,1
Cardamine hirsuta,114
Cardamine nuttallii,111
Cardamine nymanii,1
Cardamine occidentalis,34
Cardamine occulta,16
Cardamine oligosperma,185
Cardamine parviflora,1
Cardamine penduliflora,2
Cardamine pensylvanica,76
Cardamine pratensis,13
Cardamine trifolia,1
Cardamine umbellata,13
Caulanthus lasiophyllus,1
Chorispora tenella,8
Cochlearia groenlandica,2
Conringia orientalis,3
Cusickiella douglasii,1
Descurainia incana,5
Descurainia incisa,7
Descurainia longepedicellata,17
Descurainia nelsonii,3
Descurainia pinnata,4
Descurainia sophia,7
Diplotaxis muralis,4
Diplotaxis tenifolia,1
Diplotaxis tenuifolia,14
Draba albertina,9
Draba aureola,17
Draba crassifolia,3
Draba densifolia,4
Draba incerta,19
Draba lonchocarpa,24
Draba nemorosa,10
Draba novolympica,16
Draba paysonii,3
Draba platycarpa,1
Draba reptans,9
Draba stenoloba,8
Draba verna,87
Eruca vesicaria,11
Erucastrum gallicum,7
Erysimum arenicola,43
Erysimum capitatum,68
Erysimum cheiranthoides,9
Erysimum cheiri,5
Erysimum inconspicuum,1
Erysimum occidentale,5
Erysimum perenne,2
Erysimum repandum,5
Eutrema salsugineum,1
Hesperis matronalis,16
Hirschfeldia incana,24
Hornungia procumbens,19
Iberis umbellata,3
Idahoa scapigera,11
Lepidium appelianum,1
Lepidium bonariense,4
Lepidium campestre,35
Lepidium chalapense,2
Lepidium densiflorum,25
Lepidium dictyotum,2
Lepidium didymum,23
Lepidium draba,11
Lepidium heterophyllum,29
Lepidium latifolium,9
Lepidium nitidum,4
Lepidium oblongum,5
Lepidium oxycarpum,1
Lepidium perfoliatum,14
Lepidium ramosissimum,7
Lepidium ruderale,5
Lepidium sativum,5
Lepidium strictum,1
Lepidium virginicum,155
Lobularia maritima,9
Lunaria annua,21
Malcolmia maritima,1
Matthiola incana,3
Matthiola longipetala,1
Nasturtium microphyllum,5
Nasturtium officinale,34
Neslia paniculata,10
Noccaea fendleri,40
Perhaps douglasii,1
Phoenicaulis cheiranthoides,12
Phoenicaulis menziesii,2
Physaria alpestris,8
Physaria douglasii,7
Physaria geyeri,1
Physaria occidentalis,1
Physaria oregona,2
Radicula nasturtium-aquaticum,1
Raphanus raphanistrum,23
Raphanus sativus,32
Rapistrum rugosum,1
Roripa curvisiliqua,2
Roripa nasturtium,1
Rorippa austriaca,2
Rorippa clavata,1
Rorippa columbiae,5
Rorippa curvipes,32
Rorippa curvisiliqua,75
Rorippa indica,1
Rorippa nasturtium,1
Rorippa palustris,91
Rorippa sinuata,11
Rorippa sylvestris,18
Rorippa tenerrima,4
Sandbergia whitedii,1
Schoenocrambe linifolia,1
Sinapis alba,1
Sinapis arvensis,30
Sisymbrium altissimum,34
Sisymbrium linifolium,9
Sisymbrium loeselii,2
Sisymbrium officinale,56
Sisymbrium orientale,3
Smelowskia americana,21
Smelowskia ovalis,18
Subularia aquatica,17
Teesdalia nudicaulis,67
Thelypodium laciniatum,8
Thelypodium milleflorum,3
Thlaspi alpestre,1
Thlaspi alpinum,1
Thlaspi arvense,19
Thlaspi glaucum,3
Thlaspi pedunculatum,1
Thlaspi spindleri,1
Thysanocarpus curvipes,25
Turritis glabra,80
