binomial,count
Campanula glomerata,1
Campanula lactiflora,3
Campanula medium,1
Campanula parryi,1
Campanula persicifolia,3
Campanula petiolata,2
Campanula piperi,40
Campanula poscharskyana,2
Campanula rapunculoides,6
Campanula rotundifolia,99
Campanula scabrella,19
Campanula scouleri,107
Downingia bacigalupii,4
Downingia elegans,11
Downingia yina,8
Githopsis specularioides,13
Heterocodon rariflorum,9
Howellia aquatilis,3
Isotoma fluviatilis,1
Jasione montana,3
Jasione perennis,1
Lobelia dortmanna,32
Lobelia erinus,9
Lobelia kalmii,1
Lobelia siphilitica,1
Pratia angulata,1
Specularia speculum,1
Triodanis perfoliata,28
Wahlenbergia pendula,1
