binomial,count
Caprifolium hispidulum,1
Lonicera americana,1
Lonicera bella,5
Lonicera bracteosa,1
Lonicera caerulea,3
Lonicera ciliosa,115
Lonicera conjugialis,13
Lonicera hispidula,71
Lonicera involucrata,154
Lonicera japonica,2
Lonicera maackii,4
Lonicera periclymenum,12
Lonicera pileata,1
Lonicera tatarica,1
Lonicera utahensis,16
Lonicera xylosteum,5
Symphoricarpos albus,200
Symphoricarpos hyalinus,1
Symphoricarpos mollis,29
Symphoricarpos occidentalis,1
Symphoricarpos racemosus,1
Symphoricarpos rotundifolius,12
