binomial,count
Agrostemma githago,14
Ammodenia peploides,1
Arenaria capillaris,2
Arenaria paludicola,1
Arenaria serpyllifolia,29
Atocion armeria,4
Cardionema ramosissima,12
Cerastium arvense,201
Cerastium brachypetalum,1
Cerastium dichotomum,1
Cerastium fontanum,70
Cerastium glomeratum,116
Cerastium nutans,10
Cerastium pumilum,68
Cerastium semidecandrum,63
Cerastium tomentosum,3
Cherleria biflora,2
Cherleria marcescens,4
Corrigiola litoralis,8
Dianthus armeria,29
Dianthus barbatus,12
Dianthus chinensis,1
Dianthus deltoides,17
Dichodon viscidum,3
Eremogone capillaris,71
Eremogone congesta,5
Eremogone franklinii,2
Eremogone kingii,1
Gypsophila muralis,2
Gypsophila oldhamiana,1
Gypsophila pacifica,1
Gypsophila paniculata,1
Herniaria glabra,1
Herniaria hirsuta,1
Holosteum umbellatum,19
Honckenya peploides,43
Minuartia obtusiloba,39
Minuartia tenella,1
Moehringia lateriflora,5
Moehringia macrophylla,104
Moenchia erecta,24
Myosoton aquaticum,4
Pentacaena ramosissima,6
Petrorhagia nanteuilii,1
Polycarpon tetraphyllum,4
Pseudostellaria jamesiana,16
Sabulina elegans,5
Sabulina macra,56
Sabulina michauxii,1
Sabulina nuttallii,11
Sabulina pusilla,3
Sabulina rubella,36
Sabulina verna,2
Sagina apetala,28
Sagina cserei,1
Sagina decumbens,56
Sagina maxima,58
Sagina procumbens,57
Sagina saginoides,22
Saponaria ocymoides,1
Saponaria officinalis,17
Scleranthus annuus,21
Silene acaulis,20
Silene antirrhina,48
Silene bernardina,1
Silene chalcedonica,1
Silene conica,2
Silene conoidea,2
Silene coronaria,14
Silene csereii,2
Silene dichotoma,3
Silene dilatata,1
Silene dioica,12
Silene douglasii,53
Silene flos-cuculi,2
Silene gallica,50
Silene hampeana,1
Silene hookeri,1
Silene latifolia,59
Silene menziesii,25
Silene noctiflora,10
Silene oregana,26
Silene parryi,72
Silene scouleri,25
Silene suksdorfii,24
Silene vulgaris,37
Spergula arvensis,71
Spergula canadensis,5
Spergula rubra,1
Spergularia bocconi,1
Spergularia canadensis,64
Spergularia diandra,11
Spergularia macrotheca,59
Spergularia media,1
Spergularia rubra,115
Spergularia salina,53
Stellaria alsine,7
Stellaria borealis,86
Stellaria calycantha,43
Stellaria crassifolia,1
Stellaria crispa,91
Stellaria graminea,14
Stellaria humifusa,3
Stellaria longifolia,8
Stellaria longipes,31
Stellaria media,119
Stellaria neglecta,1
Stellaria nitens,23
Stellaria obtusa,9
Stellaria pallida,11
Stellaria salina,1
Stellaria umbellata,3
Vaccaria hispanica,13
