binomial,count
Amphiscirpus nevadensis,1
Bolboschoenus fluviatilis,4
Bolboschoenus maritimus,101
Carex abrupta,1
Carex albonigra,9
Carex amplifolia,53
Carex angustata,13
Carex anthoxanthea,3
Carex aperta,26
Carex aquatilis,137
Carex arcta,89
Carex arctaeformis,1
Carex arctiformis,4
Carex arenaria,7
Carex athrostachya,41
Carex atrata,1
Carex aurea,18
Carex bebbii,18
Carex bolanderi,27
Carex brevicaulis,5
Carex brevior,2
Carex breweri,1
Carex brunnescens,12
Carex buchananii,1
Carex buxbaumii,8
Carex californica,9
Carex canescens,101
Carex chordorrhiza,3
Carex circinata,5
Carex comosa,15
Carex concinnoides,4
Carex crawfordii,7
Carex cusickii,60
Carex davyi,6
Carex deflexa,4
Carex densa,24
Carex deweyana,66
Carex disperma,8
Carex divulsa,2
Carex douglasii,3
Carex echinata,123
Carex engelmannii,27
Carex epapillosa,2
Carex exsiccata,85
Carex feta,34
Carex filifolia,4
Carex flava,2
Carex foenea,2
Carex fracta,12
Carex frankii,3
Carex garberi,6
Carex geyeri,29
Carex halliana,21
Carex harfordii,2
Carex hassei,6
Carex haydeniana,1
Carex hendersonii,53
Carex heteroneura,2
Carex hirta,1
Carex hoodii,42
Carex hystericina,4
Carex idahoensis,1
Carex illota,34
Carex inops,114
Carex integra,2
Carex interior,11
Carex interrupta,48
Carex jonesii,8
Carex kelloggii,204
Carex kobomugi,2
Carex laeviculmis,63
Carex lasiocarpa,20
Carex lenticularis,46
Carex leporina,45
Carex leporinella,5
Carex leptalea,46
Carex leptopoda,66
Carex limosa,18
Carex livida,18
Carex longii,4
Carex luzulifolia,1
Carex luzulina,72
Carex lyngbyei,92
Carex macloviana,2
Carex macrocephala,81
Carex macrochaeta,11
Carex magellanica,17
Carex mertensii,120
Carex micropoda,13
Carex microptera,32
Carex muricata,1
Carex nardina,25
Carex nebrascensis,11
Carex neurophora,18
Carex nigra,5
Carex nigricans,88
Carex nudata,13
Carex obnupta,190
Carex obtusata,6
Carex olympica,4
Carex ovalis,29
Carex pachycarpa,5
Carex pachystachya,155
Carex pallescens,12
Carex pansa,19
Carex pauciflora,22
Carex pellita,15
Carex pendula,13
Carex pensylvanica,2
Carex petasata,2
Carex phaeocephala,55
Carex physocarpioides,2
Carex pluriflora,8
Carex podocarpa,10
Carex praegracilis,6
Carex praticola,18
Carex preslii,55
Carex proposita,1
Carex pyrenaica,23
Carex raynoldsii,9
Carex retrorsa,7
Carex rossii,48
Carex rostrata,21
Carex sartwellii,4
Carex saxatilis,21
Carex scirpoidea,10
Carex scoparia,28
Carex scopulorum,69
Carex siccata,1
Carex simulata,13
Carex spectabilis,184
Carex stipata,110
Carex straminiformis,6
Carex stylosa,18
Carex subbracteata,3
Carex subfusca,3
Carex sychnocephala,1
Carex sylvatica,9
Carex tahoensis,7
Carex tenera,1
Carex tribuloides,19
Carex tumulicola,24
Carex unilateralis,36
Carex utriculata,116
Carex vernacula,2
Carex vesicaria,39
Carex viridula,68
Carex vulpinoidea,19
Cyperus acuminatus,13
Cyperus bipartitus,6
Cyperus eragrostis,21
Cyperus erythrorhizos,38
Cyperus esculentus,16
Cyperus fuscus,1
Cyperus odoratus,1
Cyperus retrorsus,1
Cyperus schweinitzii,3
Cyperus squarrosus,22
Cyperus strigosus,16
Dulichium arundinaceum,69
Eleocharis acicularis,37
Eleocharis bella,7
Eleocharis compressa,1
Eleocharis engelmannii,8
Eleocharis macrostachya,73
Eleocharis mamillata,2
Eleocharis obtusa,77
Eleocharis ovata,33
Eleocharis palustris,59
Eleocharis parvula,12
Eleocharis quinqueflora,8
Eleocharis suksdorfiana,10
Eriophorum angustifolium,62
Eriophorum brachyantherum,1
Eriophorum chamissonis,66
Eriophorum gracile,9
Eriophorum vaginatum,1
Eriophorum virginicum,19
Eriophorum viridicarinatum,2
Isolepis cernua,29
Isolepis pseudosetacea,3
Isolepis setacea,5
Lipocarpha aristulata,1
Lipocarpha drummondii,11
Lipocarpha micrantha,2
Rhynchospora alba,47
Schoenoplectus acutus,64
Schoenoplectus americanus,31
Schoenoplectus heterochaetus,2
Schoenoplectus kuekenthalianus,4
Schoenoplectus lacustris,2
Schoenoplectus mucronatus,4
Schoenoplectus pungens,26
Schoenoplectus subterminalis,10
Schoenoplectus tabernaemontani,47
Schoenoplectus triqueter,6
Scirpus acutus,2
Scirpus atrocinctus,3
Scirpus atrovirens,1
Scirpus cernuus,1
Scirpus congdonii,5
Scirpus cyperinus,33
Scirpus georgianus,5
Scirpus microcarpus,153
Scirpus pallidus,5
Scirpus pungens,1
Trichophorum alpinum,1
Trichophorum cespitosum,25
