binomial,count
Allotropa virgata,25
Andromeda polifolia,14
Arbutus menziesii,113
Arbutus unedo,14
Arctostaphylos columbiana,118
Arctostaphylos media,45
Arctostaphylos nevadensis,46
Arctostaphylos patula,7
Arctostaphylos uva-ursi,140
Calluna vulgaris,9
Cassiope lycopodioides,1
Cassiope mertensiana,99
Cassiope tetragona,3
Chimaphila menziesii,42
Chimaphila umbellata,91
Elliottia pyroliflora,36
Empetrum nigrum,21
Enkianthus campanulatus,1
Erica carnea,1
Erica cinerea,1
Erica coccinea,1
Gaultheria hispidula,1
Gaultheria humifusa,21
Gaultheria ovatifolia,39
Gaultheria shallon,168
Harrimanella stelleriana,18
Hemitomes congestum,17
Kalmia latifolia,1
Kalmia microphylla,131
Kalmia polifolia,1
Kalmia procumbens,3
Ledum latifolium,1
Menziesia ferruginea,139
Moneses uniflora,35
Monotropa hypopitys,82
Monotropa uniflora,36
Orthilia secunda,38
Phyllodoce empetriformis,117
Phyllodoce glanduliflora,51
Phyllodoce intermedia,4
Pieris japonica,1
Pityopus californicus,3
Pleuricospora fimbriolata,7
Pterospora andromedea,17
Pyrola aphylla,7
Pyrola asarifolia,85
Pyrola bracteata,1
Pyrola chlorantha,14
Pyrola crypta,1
Pyrola dentata,7
Pyrola elliptica,2
Pyrola minor,8
Pyrola picta,21
Rhododendron albiflorum,91
Rhododendron columbianum,24
Rhododendron groenlandicum,124
Rhododendron macrophyllum,58
Rhododendron menziesii,1
Vaccinium caespitosum,33
Vaccinium chamissonis,13
Vaccinium corymbosum,49
Vaccinium deliciosum,80
Vaccinium macrocarpon,11
Vaccinium membranaceum,77
Vaccinium myrtilloides,21
Vaccinium myrtillus,8
Vaccinium ovalifolium,130
Vaccinium ovatum,84
Vaccinium oxycoccos,65
Vaccinium parvifolium,129
Vaccinium quadripetalum,36
Vaccinium scoparium,38
Vaccinium uliginosum,65
Vaccinium vitis-idaea,1
