binomial,count
Acmispon americanus,39
Acmispon denticulatus,29
Acmispon nevadensis,31
Acmispon parviflorus,109
Amorpha fruticosa,9
Arachis hypogaea,1
Aragallus luteolus,2
Astragalus alpinus,1
Astragalus arthurii,1
Astragalus australis,11
Astragalus canadensis,2
Astragalus caricinus,1
Astragalus cicer,6
Astragalus collinus,2
Astragalus columbianus,1
Astragalus conjunctus,1
Astragalus diaphanus,2
Astragalus hoodianus,13
Astragalus hookerianus,1
Astragalus inflexus,1
Astragalus leibergii,1
Astragalus lentiginosus,3
Astragalus lyallii,2
Astragalus microcystis,1
Astragalus olympicus,2
Astragalus pulsiferae,2
Astragalus purshii,21
Astragalus reventiformis,23
Astragalus reventus,1
Astragalus robbinsii,1
Astragalus sclerocarpus,3
Astragalus sinuatus,3
Astragalus speirocarpus,3
Astragalus tenellus,1
Astragalus whitneyi,3
Cercis siliquastrum,1
Cicer arietinum,6
Cytisus multiflorus,4
Cytisus scoparius,117
Cytisus striatus,2
Dalea leporina,1
Galega officinalis,7
Genista monspessulana,1
Genista pilosa,1
Glycine max,1
Glycyrrhiza lepidota,6
Hedysarum boreale,1
Hedysarum occidentale,64
Hosackia crassifolia,21
Hosackia gracilis,11
Hosackia pinnata,26
Hosackia rosea,27
Laburnum anagyroides,12
Laburnum watereri,1
Ladeania lanceolata,3
Lathyrus angulatus,1
Lathyrus aphaca,1
Lathyrus holochlorus,1
Lathyrus japonicus,102
Lathyrus lanszwertii,49
Lathyrus latifolius,35
Lathyrus littoralis,34
Lathyrus maritimus,22
Lathyrus nevadensis,123
Lathyrus odoratus,1
Lathyrus palustris,30
Lathyrus pauciflorus,43
Lathyrus polyphyllus,45
Lathyrus pratensis,4
Lathyrus sphaericus,4
Lathyrus sylvestris,22
Lathyrus tingitanus,2
Lathyrus torreyi,16
Lathyrus vestitus,17
Lens culinaris,2
Lotus corniculatus,22
Lotus tenuis,2
Lotus uliginosus,22
Lupinus agninus,1
Lupinus albicaulis,33
Lupinus alpestris,2
Lupinus arboreus,26
Lupinus arbustus,44
Lupinus argenteus,5
Lupinus bicolor,156
Lupinus caudatus,2
Lupinus humicola,1
Lupinus latifolius,210
Lupinus laxiflorus,7
Lupinus lepidus,185
Lupinus leucophyllus,12
Lupinus littoralis,59
Lupinus luteus,1
Lupinus microcarpus,19
Lupinus nanus,2
Lupinus nootkatensis,4
Lupinus oreganus,2
Lupinus pachylobus,1
Lupinus polyphyllus,128
Lupinus pusillus,1
Lupinus rivularis,125
Lupinus saxosus,7
Lupinus sericeus,39
Lupinus suksdorfii,1
Lupinus sulphureus,44
Medicago arabica,6
Medicago hispida,1
Medicago lupulina,46
Medicago minima,1
Medicago polymorpha,16
Medicago sativa,37
Melilotus albus,32
Melilotus indicus,5
Melilotus officinalis,21
Onobrychis viciifolia,4
Ononis spinosa,1
Oxytropis borealis,15
Oxytropis campestris,44
Oxytropis olympica,1
Pediomelum argophyllum,3
Phaseolus coccineus,1
Pisum sativum,3
Robinia hispida,3
Robinia pseudoacacia,9
Rupertia physodes,53
Securigera varia,5
Spartium junceum,2
Sphaerophysa salsula,1
Thermopsis montana,32
Trifolium albopurpureum,3
Trifolium arvense,28
Trifolium aureum,6
Trifolium bifidum,5
Trifolium campestre,37
Trifolium cernuum,1
Trifolium ciliolatum,9
Trifolium cyathiferum,14
Trifolium depauperatum,5
Trifolium dichotomum,4
Trifolium dubium,132
Trifolium eriocephalum,2
Trifolium fragiferum,9
Trifolium fucatum,2
Trifolium glomeratum,3
Trifolium gracilentum,1
Trifolium hybridum,47
Trifolium incarnatum,16
Trifolium longipes,39
Trifolium macraei,1
Trifolium macrocephalum,21
Trifolium microcephalum,140
Trifolium microdon,53
Trifolium oliganthum,50
Trifolium pratense,55
Trifolium repens,64
Trifolium retusum,6
Trifolium striatum,1
Trifolium subterraneum,29
Trifolium suffocatum,1
Trifolium variegatum,84
Trifolium vesiculosum,1
Trifolium willdenovii,157
Trifolium wormskioldii,83
Trifolium wormskjoldii,12
Ulex europaeus,18
Vicia acicularis,1
Vicia americana,212
Vicia benghalensis,2
Vicia cracca,14
Vicia disperma,2
Vicia hirsuta,108
Vicia lathyroides,6
Vicia lutea,2
Vicia nigricans,113
Vicia pannonica,2
Vicia sativa,156
Vicia tetrasperma,18
Vicia villosa,49
Vicia washingtonensis,1
Wisteria floribunda,9
Xylophacos ventosus,2
