binomial,count
Crocosmia crocosmiiflora,5
Crocus stellaris,1
Crocus tommasinianus,1
Crocus vernus,1
Dierama pulcherrimum,1
Iris foetidissima,4
Iris germanica,5
Iris missouriensis,14
Iris pseudacorus,48
Iris sibirica,2
Iris tenax,26
Olsynium douglasii,63
Orthrosanthus chimboracensis,1
Sisyrinchium angustifolium,1
Sisyrinchium californicum,46
Sisyrinchium grandiflorum,3
Sisyrinchium hitchcockii,1
Sisyrinchium idahoense,78
Sisyrinchium littorale,25
Sisyrinchium montanum,1
Sisyrinchium sarmentosum,11
Sisyrinchium septentrionale,2
