binomial,count
Juncus acuminatus,117
Juncus alpinoarticulatus,12
Juncus anthelatus,14
Juncus arcticus,2
Juncus articulatus,105
Juncus balticus,134
Juncus bolanderi,52
Juncus brachycarpus,6
Juncus brevicaudatus,11
Juncus breweri,12
Juncus bufonius,158
Juncus bulbosus,34
Juncus canadensis,33
Juncus confusus,5
Juncus conglomeratus,6
Juncus covillei,40
Juncus diffusissimus,10
Juncus drummondii,67
Juncus dudleyi,23
Juncus effusus,208
Juncus ensifolius,207
Juncus falcatus,33
Juncus filiformis,16
Juncus gerardi,37
Juncus hemiendytus,2
Juncus hesperius,93
Juncus interior,7
Juncus kelloggii,3
Juncus laccatus,67
Juncus lemieuxii,1
Juncus lesueurii,5
Juncus longistylis,6
Juncus marginatus,4
Juncus mertensianus,97
Juncus nevadensis,75
Juncus nodosus,3
Juncus occidentalis,33
Juncus orthophyllus,7
Juncus oxymeris,34
Juncus parryi,48
Juncus patens,12
Juncus pelocarpus,18
Juncus ranarius,1
Juncus regelii,35
Juncus saximontanus,19
Juncus supiniformis,43
Juncus tenuis,112
Juncus textilis,1
Juncus torreyi,13
Juncus trilocularis,9
Juncus vaseyi,1
Luzula arcuata,4
Luzula campestris,41
Luzula cascadensis,3
Luzula comosa,90
Luzula congesta,4
Luzula cornosa,1
Luzula forsteri,3
Luzula hitchcockii,34
Luzula macrantha,25
Luzula multiflora,108
Luzula nivea,4
Luzula parviflora,206
Luzula piperi,35
Luzula spicata,22
Luzula subsessilis,73
Luzula sylvatica,6
Luzula wahlenbergii,3
