binomial,count
Agastache occidentalis,12
Agastache urticifolia,7
Ajuga reptans,20
Ballota nigra,2
Clerodendrum trichotomum,1
Clinopodium douglasii,68
Clinopodium grandiflorum,1
Clinopodium vulgare,23
Dracocephalum parviflorum,3
Galeopsis bifida,3
Galeopsis speciosa,1
Galeopsis tetrahit,16
Glechoma hederacea,63
Hyssopus officinalis,1
Lamiastrum galeobdolon,23
Lamium album,3
Lamium amplexicaule,25
Lamium hybridum,11
Lamium maculatum,2
Lamium purpureum,53
Lavandula intermedia,4
Lavandula latifolia,1
Lavandula stoechas,2
Leonurus cardiaca,1
Lycopus americanus,25
Lycopus asper,2
Lycopus europaeus,13
Lycopus lucidus,2
Lycopus uniflorus,80
Marrubium vulgare,15
Melissa officinalis,13
Mentha aquatica,3
Mentha arvensis,55
Mentha canadensis,37
Mentha piperita,50
Mentha pulegium,11
Mentha requienii,2
Mentha rotundifolia,3
Mentha spicata,14
Mentha suaveolens,6
Mentha verticillata,1
Mentha villosa,1
Micromeria graeca,1
Monarda didyma,2
Monardella odoratissima,15
Nepeta cataria,19
Ocimum basilicum,1
Origanum vulgare,9
Perilla frutescens,8
Physostegia parviflora,10
Prunella lanceolta,1
Prunella vulgaris,128
Rosmarinus officinalis,1
Salvia aethiopis,2
Salvia dorrii,5
Salvia pratensis,4
Salvia reflexa,1
Salvia sclarea,3
Salvia verticillata,1
Salvia virgata,1
Scutellaria albida,4
Scutellaria altissima,2
Scutellaria angustifolia,14
Scutellaria galericulata,22
Scutellaria lateriflora,29
Scutellaria scutellata,2
Stachys arvensis,5
Stachys byzantina,5
Stachys caurina,2
Stachys chamissonis,1
Stachys ciliata,3
Stachys cooleyae,95
Stachys mexicana,86
Stachys palustris,2
Stachys pilosa,7
Stachys pratensis,1
Stachys rigida,4
Teucrium scorodonia,1
Thymus praecox,1
Thymus pulegioides,1
Thymus serpyllum,3
Trichostema oblongum,2
