binomial,count
Calandrinia ciliata,42
Calandrinia menziesii,1
Calyptridium umbellatum,36
Claytonia arenicola,7
Claytonia cordifolia,61
Claytonia cupulata,1
Claytonia depressa,1
Claytonia exigua,61
Claytonia lanceolata,43
Claytonia megarhiza,1
Claytonia multiscapa,2
Claytonia parviflora,110
Claytonia perfoliata,164
Claytonia rubra,161
Claytonia rupicola,1
Claytonia sibirica,262
Claytonia spathulata,2
Claytonia washingtoniana,32
Lewisia columbiana,44
Lewisia cotyledon,1
Lewisia nevadensis,4
Lewisia pygmaea,8
Lewisia rediviva,7
Lewisia triphylla,19
Lewisiopsis tweedyi,2
Montia chamissoi,13
Montia dichotoma,20
Montia diffusa,13
Montia fontana,83
Montia howellii,39
Montia interrupta,1
Montia latifolia,1
Montia linearis,66
Montia parviflora,1
Montia parvifolia,130
Spraguea multiceps,5
