binomial,count
Boisduvalia oenothna,1
Camissonia contorta,12
Camissoniopsis bistorta,2
Chamerion angustifolium,108
Chamerion latifolium,29
Circaea alpina,91
Clarkia amoena,52
Clarkia gracilis,28
Clarkia pulchella,15
Clarkia purpurea,28
Clarkia quadrivulnera,18
Clarkia rhomboidea,23
Clarkia viminea,1
Epilobium adscendens,1
Epilobium alpinum,6
Epilobium altissimum,3
Epilobium anagallidifolium,54
Epilobium apricum,1
Epilobium brachycarpum,190
Epilobium campestre,1
Epilobium ciliatum,231
Epilobium clavatum,48
Epilobium densiflorum,28
Epilobium floridulum,1
Epilobium glaberrimum,44
Epilobium glandulosum,70
Epilobium hallianum,46
Epilobium hirsutum,19
Epilobium holosericeum,5
Epilobium hornemannii,57
Epilobium jucundum,1
Epilobium komarovianum,1
Epilobium lactiflorum,63
Epilobium latifolium,3
Epilobium leptocarpum,6
Epilobium leptophyllum,1
Epilobium luteum,69
Epilobium minutum,156
Epilobium mirabile,1
Epilobium montanum,3
Epilobium nummulariifolium,1
Epilobium nutans,1
Epilobium obscurum,20
Epilobium oregonense,19
Epilobium paddoense,1
Epilobium palustre,3
Epilobium parviflorum,7
Epilobium praecox,2
Epilobium smithii,2
Epilobium tetragonum,1
Epilobium torreyi,14
Epilobium treleasianum,16
Eremothera boothii,5
Eremothera minor,3
Gayophytum decipiens,6
Gayophytum diffusum,171
Gayophytum heterozygum,62
Gayophytum humile,25
Gayophytum racemosum,13
Gayophytum ramosissimum,7
Godetia amoena,2
Godetia bingensis,1
Godetia brevistyla,1
Godetia caurina,1
Godetia gracilis,2
Godetia quadrivulnera,5
Ludwigia grandiflora,2
Ludwigia hexapetala,10
Ludwigia palustris,68
Ludwigia peploides,1
Neoholmgrenia andina,11
Neoholmgrenia hilgardii,7
Oenothera biennis,10
Oenothera curtiflora,2
Oenothera elata,17
Oenothera flava,1
Oenothera glazioviana,20
Oenothera lindheimeri,2
Oenothera pallida,3
Oenothera perangusta,2
Oenothera perennis,1
Oenothera villosa,87
Taraxia subacaulis,2
Taraxia tanacetifolia,9
